_id,orders_opened,orders_closed,transactions_opened,transactions_delivered,days_passed
6319213fbdd32a2b9c5bd1ba,1,0,0,0,0
6319213fbdd32a2b9c5bd1bc,1,0,1,0,0
6319213fbdd32a2b9c5bd1bd,1,1,1,0,0
6319213fbdd32a2b9c5bd1be,1,1,1,0,1
6319213fbdd32a2b9c5bd1bf,2,1,1,0,1
6319213fbdd32a2b9c5bd1c0,3,1,1,0,1
6319213fbdd32a2b9c5bd1c1,4,1,1,0,1
6319213fbdd32a2b9c5bd1c2,5,1,1,0,1
6319213fbdd32a2b9c5bd1c3,6,1,1,0,1
6319213fbdd32a2b9c5bd1c4,7,1,1,0,1
6319213fbdd32a2b9c5bd1c6,7,1,2,0,1
6319213fbdd32a2b9c5bd1c7,7,2,2,0,1
6319213fbdd32a2b9c5bd1c8,8,2,2,0,1
6319213fbdd32a2b9c5bd1ca,8,2,3,0,1
6319213fbdd32a2b9c5bd1cb,8,3,3,0,1
6319213fbdd32a2b9c5bd1cc,9,3,3,0,1
6319213fbdd32a2b9c5bd1ce,9,3,4,0,1
6319213fbdd32a2b9c5bd1cf,9,4,4,0,1
6319213fbdd32a2b9c5bd1d0,10,4,4,0,1
6319213fbdd32a2b9c5bd1d2,10,4,5,0,1
6319213fbdd32a2b9c5bd1d3,10,5,5,0,1
6319213fbdd32a2b9c5bd1d5,10,5,6,0,1
6319213fbdd32a2b9c5bd1d7,10,5,7,0,1
6319213fbdd32a2b9c5bd1d8,10,6,7,0,1
6319213fbdd32a2b9c5bd1da,10,6,8,0,1
6319213fbdd32a2b9c5bd1db,10,6,8,0,2
6319213fbdd32a2b9c5bd1dc,11,6,8,0,2
6319213fbdd32a2b9c5bd1dd,12,6,8,0,2
6319213fbdd32a2b9c5bd1de,13,6,8,0,2
6319213fbdd32a2b9c5bd1df,14,6,8,0,2
6319213fbdd32a2b9c5bd1e0,15,6,8,0,2
6319213fbdd32a2b9c5bd1e1,16,6,8,0,2
6319213fbdd32a2b9c5bd1e2,17,6,8,0,2
6319213fbdd32a2b9c5bd1e3,18,6,8,0,2
6319213fbdd32a2b9c5bd1e4,19,6,8,0,2
6319213fbdd32a2b9c5bd1e6,19,6,9,0,2
6319213fbdd32a2b9c5bd1e7,19,7,9,0,2
6319213fbdd32a2b9c5bd1e9,19,7,10,0,2
6319213fbdd32a2b9c5bd1eb,19,7,11,0,2
6319213fbdd32a2b9c5bd1ec,19,8,11,0,2
6319213fbdd32a2b9c5bd1ee,19,8,12,0,2
6319213fbdd32a2b9c5bd1ef,19,8,12,0,3
6319213fbdd32a2b9c5bd1f0,20,8,12,0,3
6319213fbdd32a2b9c5bd1f1,21,8,12,0,3
6319213fbdd32a2b9c5bd1f2,22,8,12,0,3
6319213fbdd32a2b9c5bd1f3,23,8,12,0,3
6319213fbdd32a2b9c5bd1f4,24,8,12,0,3
6319213fbdd32a2b9c5bd1f5,25,8,12,0,3
6319213fbdd32a2b9c5bd1f6,26,8,12,0,3
6319213fbdd32a2b9c5bd1f7,27,8,12,0,3
6319213fbdd32a2b9c5bd1f8,28,8,12,0,3
6319213fbdd32a2b9c5bd1fa,28,8,13,0,3
6319213fbdd32a2b9c5bd1fb,28,9,13,0,3
6319213fbdd32a2b9c5bd1fd,28,9,14,0,3
6319213fbdd32a2b9c5bd1ff,28,9,15,0,3
6319213fbdd32a2b9c5bd200,28,10,15,0,3
6319213fbdd32a2b9c5bd202,28,10,16,0,3
6319213fbdd32a2b9c5bd203,28,10,16,0,4
6319213fbdd32a2b9c5bd204,29,10,16,0,4
6319213fbdd32a2b9c5bd205,30,10,16,0,4
6319213fbdd32a2b9c5bd206,31,10,16,0,4
6319213fbdd32a2b9c5bd207,32,10,16,0,4
6319213fbdd32a2b9c5bd208,33,10,16,0,4
6319213fbdd32a2b9c5bd209,34,10,16,0,4
6319213fbdd32a2b9c5bd20a,35,10,16,0,4
6319213fbdd32a2b9c5bd20b,36,10,16,0,4
6319213fbdd32a2b9c5bd20c,37,10,16,0,4
6319213fbdd32a2b9c5bd20e,37,10,17,0,4
6319213fbdd32a2b9c5bd20f,37,11,17,0,4
6319213fbdd32a2b9c5bd211,37,11,18,0,4
6319213fbdd32a2b9c5bd213,37,11,19,0,4
6319213fbdd32a2b9c5bd214,37,12,19,0,4
6319213fbdd32a2b9c5bd216,37,12,20,0,4
6319213fbdd32a2b9c5bd217,37,12,20,0,5
6319213fbdd32a2b9c5bd218,38,12,20,0,5
6319213fbdd32a2b9c5bd219,39,12,20,0,5
6319213fbdd32a2b9c5bd21a,40,12,20,0,5
6319213fbdd32a2b9c5bd21b,41,12,20,0,5
6319213fbdd32a2b9c5bd21c,42,12,20,0,5
6319213fbdd32a2b9c5bd21d,43,12,20,0,5
6319213fbdd32a2b9c5bd21e,44,12,20,0,5
6319213fbdd32a2b9c5bd21f,45,12,20,0,5
6319213fbdd32a2b9c5bd220,46,12,20,0,5
6319213fbdd32a2b9c5bd222,46,12,21,0,5
6319213fbdd32a2b9c5bd223,46,13,21,0,5
6319213fbdd32a2b9c5bd225,46,13,22,0,5
6319213fbdd32a2b9c5bd227,46,13,23,0,5
6319213fbdd32a2b9c5bd228,46,14,23,0,5
6319213fbdd32a2b9c5bd22a,46,14,24,0,5
6319213fbdd32a2b9c5bd22b,46,14,24,0,6
6319213fbdd32a2b9c5bd22c,47,14,24,0,6
6319213fbdd32a2b9c5bd22d,48,14,24,0,6
6319213fbdd32a2b9c5bd22e,49,14,24,0,6
6319213fbdd32a2b9c5bd22f,50,14,24,0,6
6319213fbdd32a2b9c5bd230,51,14,24,0,6
6319213fbdd32a2b9c5bd231,52,14,24,0,6
6319213fbdd32a2b9c5bd232,53,14,24,0,6
6319213fbdd32a2b9c5bd233,54,14,24,0,6
6319213fbdd32a2b9c5bd234,55,14,24,0,6
6319213fbdd32a2b9c5bd236,55,14,25,0,6
6319213fbdd32a2b9c5bd237,55,15,25,0,6
6319213fbdd32a2b9c5bd239,55,15,26,0,6
6319213fbdd32a2b9c5bd23b,55,15,27,0,6
6319213fbdd32a2b9c5bd23c,55,16,27,0,6
6319213fbdd32a2b9c5bd23e,55,16,28,0,6
6319213fbdd32a2b9c5bd23f,55,16,28,0,7
6319213fbdd32a2b9c5bd240,56,16,28,0,7
6319213fbdd32a2b9c5bd241,57,16,28,0,7
6319213fbdd32a2b9c5bd242,58,16,28,0,7
6319213fbdd32a2b9c5bd243,59,16,28,0,7
6319213fbdd32a2b9c5bd244,60,16,28,0,7
6319213fbdd32a2b9c5bd245,61,16,28,0,7
6319213fbdd32a2b9c5bd246,62,16,28,0,7
6319213fbdd32a2b9c5bd247,63,16,28,0,7
6319213fbdd32a2b9c5bd248,64,16,28,0,7
6319213fbdd32a2b9c5bd24a,64,16,29,0,7
6319213fbdd32a2b9c5bd24b,64,17,29,0,7
6319213fbdd32a2b9c5bd24d,64,17,30,0,7
6319213fbdd32a2b9c5bd24f,64,17,31,0,7
6319213fbdd32a2b9c5bd250,64,18,31,0,7
6319213fbdd32a2b9c5bd252,64,18,32,0,7
6319213fbdd32a2b9c5bd253,64,18,32,0,8
6319213fbdd32a2b9c5bd254,65,18,32,0,8
6319213fbdd32a2b9c5bd255,66,18,32,0,8
6319213fbdd32a2b9c5bd256,67,18,32,0,8
6319213fbdd32a2b9c5bd257,68,18,32,0,8
6319213fbdd32a2b9c5bd258,69,18,32,0,8
6319213fbdd32a2b9c5bd259,70,18,32,0,8
6319213fbdd32a2b9c5bd25a,71,18,32,0,8
6319213fbdd32a2b9c5bd25b,72,18,32,0,8
6319213fbdd32a2b9c5bd25c,73,18,32,0,8
6319213fbdd32a2b9c5bd25e,73,18,33,0,8
6319213fbdd32a2b9c5bd25f,73,19,33,0,8
6319213fbdd32a2b9c5bd261,73,19,34,0,8
6319213fbdd32a2b9c5bd263,73,19,35,0,8
6319213fbdd32a2b9c5bd264,73,20,35,0,8
6319213fbdd32a2b9c5bd266,73,20,36,0,8
6319213fbdd32a2b9c5bd267,73,20,36,0,9
6319213fbdd32a2b9c5bd268,74,20,36,0,9
6319213fbdd32a2b9c5bd269,75,20,36,0,9
6319213fbdd32a2b9c5bd26a,76,20,36,0,9
6319213fbdd32a2b9c5bd26b,77,20,36,0,9
6319213fbdd32a2b9c5bd26c,78,20,36,0,9
6319213fbdd32a2b9c5bd26d,79,20,36,0,9
6319213fbdd32a2b9c5bd26e,80,20,36,0,9
6319213fbdd32a2b9c5bd26f,81,20,36,0,9
6319213fbdd32a2b9c5bd270,82,20,36,0,9
6319213fbdd32a2b9c5bd272,82,20,37,0,9
6319213fbdd32a2b9c5bd273,82,21,37,0,9
6319213fbdd32a2b9c5bd275,82,21,38,0,9
6319213fbdd32a2b9c5bd277,82,21,39,0,9
6319213fbdd32a2b9c5bd278,82,22,39,0,9
6319213fbdd32a2b9c5bd27a,82,22,40,0,9
6319213fbdd32a2b9c5bd27b,82,22,40,0,10
6319213fbdd32a2b9c5bd27e,82,22,40,1,10
6319213fbdd32a2b9c5bd27f,83,22,40,1,10
6319213fbdd32a2b9c5bd280,84,22,40,1,10
6319213fbdd32a2b9c5bd281,85,22,40,1,10
6319213fbdd32a2b9c5bd282,86,22,40,1,10
6319213fbdd32a2b9c5bd283,87,22,40,1,10
