_id,deliver_day,order_id,order_criation_day,sending_day,receiver,sender,product,quantity,transit_time,lead_time,theoretical_lead,transaction_id,delivered,update_day
1,11,1000001,1,1,0,1,1001,10833,,10,10,1,1,11
2,12,2000001,2,2,1,2,2001,10833,,10,10,2,1,12
3,12,3000001,2,2,2,3,3001,10833,,10,10,3,1,12
4,12,4000001,2,2,3,4,4001,10833,,10,10,4,1,12
20,12,5000008,5,5,4,5,5001,43332,,7,7,20,1,12
21,12,5000009,6,6,4,5,5001,10833,,7,6,21,1,13
10,14,5000003,3,3,4,5,5001,10833,,11,11,10,1,14
7,15,5000002,2,2,4,5,5001,10833,,13,13,7,1,15
5,16,5000001,2,2,4,5,5001,10833,,14,14,5,1,16
6,16,5000001,2,2,4,5,5001,10833,,15,14,6,1,17
8,18,5000002,2,2,4,5,5001,10833,,16,16,8,1,18
9,15,5000003,3,3,4,5,5001,10833,,16,12,9,1,19
11,16,5000004,3,3,4,5,5001,43332,,17,13,11,1,20
12,17,5000004,3,3,4,5,5001,43332,,18,14,12,1,21
13,15,5000005,4,4,4,5,5001,10833,,18,11,13,1,22
14,15,5000005,4,4,4,5,5001,10833,,19,11,14,1,23
15,18,5000006,4,4,4,5,5001,43332,,20,14,15,1,24
16,21,5000006,4,4,4,5,5001,43332,,21,17,16,1,25
17,19,5000007,5,5,4,5,5001,10833,,21,14,17,1,26
18,16,5000007,5,5,4,5,5001,10833,,22,11,18,1,27
19,18,5000008,5,5,4,5,5001,43332,,23,13,19,1,28
22,12,5000009,6,6,4,5,5001,10833,,23,6,22,1,29
23,20,5000010,6,6,4,5,5001,43332,,24,14,23,1,30
24,14,5000010,6,6,4,5,5001,43332,,25,8,24,1,31
25,12,5000011,7,7,4,5,5001,10833,,25,5,25,1,32
26,19,5000011,7,7,4,5,5001,10833,,26,12,26,1,33
27,21,5000012,7,7,4,5,5001,43332,,27,14,27,1,34
28,14,5000012,7,7,4,5,5001,43332,,28,7,28,1,35
29,20,5000013,8,8,4,5,5001,10833,,28,12,29,1,36
30,20,5000013,8,8,4,5,5001,10833,,29,12,30,1,37
31,21,5000014,8,8,4,5,5001,43332,,30,13,31,1,38
32,18,5000014,8,8,4,5,5001,43332,,31,10,32,1,39
33,24,5000015,9,9,4,5,5001,10833,,31,15,33,1,40
34,18,5000015,9,9,4,5,5001,10833,,32,9,34,1,41
35,22,5000016,9,9,4,5,5001,43332,,33,13,35,1,42
36,19,5000016,9,9,4,5,5001,43332,,34,10,36,1,43
37,25,5000017,10,10,4,5,5001,12301,,34,15,37,1,44
38,20,5000017,10,10,4,5,5001,12301,,35,10,38,1,45
39,20,5000018,10,10,4,5,5001,49204,,36,10,39,1,46
40,21,5000018,10,10,4,5,5001,49204,,37,11,40,1,47
41,24,5000019,11,11,4,5,5001,12301,,37,13,41,1,48
42,17,5000019,11,11,4,5,5001,12301,,38,6,42,1,49
