;day;id;in_stock
0;1;1001;13648
1;1;2001;13648
2;1;3001;13648
3;1;4001;13648
4;1;5001;9999999999
5;1;0;0
6;2;1001;2815
7;2;2001;13648
8;2;3001;13648
9;2;4001;13648
10;2;5001;9999999999
11;2;0;0
12;3;1001;2815
13;3;2001;2815
14;3;3001;2815
15;3;4001;2815
16;3;5001;9999956667
17;3;0;0
18;4;1001;2815
19;4;2001;2815
20;4;3001;2815
21;4;4001;2815
22;4;5001;9999848337
23;4;0;0
24;5;1001;2815
25;5;2001;2815
26;5;3001;2815
27;5;4001;2815
28;5;5001;9999740007
29;5;0;0
30;6;1001;2815
31;6;2001;2815
32;6;3001;2815
33;6;4001;2815
34;6;5001;9999631677
35;6;0;0
36;7;1001;2815
37;7;2001;2815
38;7;3001;2815
39;7;4001;2815
40;7;5001;9999523347
41;7;0;0
42;8;1001;2815
43;8;2001;2815
44;8;3001;2815
45;8;4001;2815
46;8;5001;9999415017
47;8;0;0
48;9;1001;2815
49;9;2001;2815
50;9;3001;2815
51;9;4001;2815
52;9;5001;9999306687
53;9;0;0
54;10;1001;2815
55;10;2001;2815
56;10;3001;2815
57;10;4001;2815
58;10;5001;9999198357
59;10;0;0
60;11;1001;2815
61;11;2001;2815
62;11;3001;2815
63;11;4001;2815
64;11;5001;9999075347
65;11;0;0
66;12;1001;2815
67;12;2001;2815
68;12;3001;2815
69;12;4001;2815
70;12;5001;9998952337
71;12;1001;10833
72;13;2001;10833
73;13;3001;10833
74;13;4001;10833
75;13;5001;43332
76;13;5001;9998829327
77;13;1001;10833
78;14;2001;10833
79;14;3001;10833
80;14;4001;10833
81;14;5001;54165
82;14;5001;9998706317
83;14;1001;10833
84;15;2001;10833
85;15;3001;10833
86;15;4001;10833
87;15;5001;64998
88;15;5001;9998583307
89;15;1001;10833
90;16;2001;10833
91;16;3001;10833
92;16;4001;10833
93;16;5001;75831
94;16;5001;9998460297
95;16;1001;10833
96;17;2001;10833
97;17;3001;10833
98;17;4001;10833
99;17;5001;86664
100;17;5001;9998337287
101;17;1001;10833
102;18;2001;10833
103;18;3001;10833
104;18;4001;10833
105;18;5001;97497
106;18;5001;9998214277
107;18;1001;10833
108;19;2001;10833
109;19;3001;10833
110;19;4001;10833
111;19;5001;108330
112;19;5001;9998091267
113;19;1001;10833
114;20;2001;10833
115;20;3001;10833
116;20;4001;10833
117;20;5001;119163
118;20;5001;9997968257
119;20;1001;10833
120;21;2001;10833
121;21;3001;10833
122;21;4001;10833
123;21;5001;162495
124;21;5001;9997838817
125;21;1001;10833
126;22;2001;10833
127;22;3001;10833
128;22;4001;10833
129;22;5001;205827
130;22;5001;9997709377
131;22;1001;10833
132;23;2001;10833
133;23;3001;10833
134;23;4001;10833
135;23;5001;216660
136;23;5001;9997579937
137;23;1001;10833
138;24;2001;10833
139;24;3001;10833
140;24;4001;10833
141;24;5001;227493
142;24;5001;9997450497
143;24;1001;10833
144;25;2001;10833
145;25;3001;10833
146;25;4001;10833
147;25;5001;270825
148;25;5001;9997321057
149;25;1001;10833
150;26;2001;10833
151;26;3001;10833
152;26;4001;10833
153;26;5001;314157
154;26;5001;9997191617
155;26;1001;10833
156;27;2001;10833
157;27;3001;10833
158;27;4001;10833
159;27;5001;324990
160;27;5001;9997062177
161;27;1001;10833
162;28;2001;10833
163;28;3001;10833
164;28;4001;10833
165;28;5001;335823
166;28;5001;9996932737
167;28;1001;10833
168;29;2001;10833
169;29;3001;10833
170;29;4001;10833
171;29;5001;379155
172;29;5001;9996803297
173;29;1001;10833
174;30;2001;10833
175;30;3001;10833
176;30;4001;10833
177;30;5001;389988
178;30;5001;9996673857
179;30;1001;10833
180;31;2001;10833
181;31;3001;10833
182;31;4001;10833
183;31;5001;433320
184;31;5001;9996529557
185;31;1001;10833
186;32;2001;10833
187;32;3001;10833
188;32;4001;10833
189;32;5001;476652
190;32;5001;9996385257
191;32;1001;10833
192;33;2001;10833
193;33;3001;10833
194;33;4001;10833
195;33;5001;487485
196;33;5001;9996240957
197;33;1001;10833
198;34;2001;10833
199;34;3001;10833
200;34;4001;10833
201;34;5001;498318
202;34;5001;9996096657
203;34;1001;10833
204;35;2001;10833
205;35;3001;10833
206;35;4001;10833
207;35;5001;541650
208;35;5001;9995952357
209;35;1001;10833
210;36;2001;10833
211;36;3001;10833
212;36;4001;10833
213;36;5001;584982
214;36;5001;9995808057
215;36;1001;10833
216;37;2001;10833
217;37;3001;10833
218;37;4001;10833
219;37;5001;595815
220;37;5001;9995663757
221;37;1001;10833
222;38;2001;10833
223;38;3001;10833
224;38;4001;10833
225;38;5001;606648
226;38;5001;9995519457
227;38;1001;10833
228;39;2001;10833
229;39;3001;10833
230;39;4001;10833
231;39;5001;649980
232;39;5001;9995375157
233;39;1001;10833
234;40;2001;10833
235;40;3001;10833
236;40;4001;10833
237;40;5001;693312
238;40;5001;9995230857
239;40;1001;10833
240;41;2001;10833
241;41;3001;10833
242;41;4001;10833
243;41;5001;704145
244;41;5001;9995089407
245;41;1001;10833
246;42;2001;10833
247;42;3001;10833
248;42;4001;10833
249;42;5001;714978
250;42;5001;9994947957
251;42;1001;10833
252;43;2001;10833
253;43;3001;10833
254;43;4001;10833
255;43;5001;758310
256;43;5001;9994806507
257;43;1001;10833
258;44;2001;10833
259;44;3001;10833
260;44;4001;10833
261;44;5001;801642
262;44;5001;9994665057
263;44;1001;10833
264;45;2001;10833
265;45;3001;10833
266;45;4001;10833
267;45;5001;813943
268;45;5001;9994523607
269;45;1001;10833
270;46;2001;10833
271;46;3001;10833
272;46;4001;10833
273;46;5001;826244
274;46;5001;9994382157
275;46;1001;10833
276;47;2001;10833
277;47;3001;10833
278;47;4001;10833
279;47;5001;875448
280;47;5001;9994240707
281;47;1001;10833
282;48;2001;10833
283;48;3001;10833
284;48;4001;10833
285;48;5001;924652
286;48;5001;9994099257
287;48;1001;10833
288;49;2001;10833
289;49;3001;10833
290;49;4001;10833
291;49;5001;936953
292;49;5001;9993957807
293;49;1001;10833
294;50;2001;10833
295;50;3001;10833
296;50;4001;10833
297;50;5001;949254
298;50;5001;9993816357
299;50;1001;10833
300;51;2001;10833
301;51;3001;10833
302;51;4001;10833
303;51;5001;949254
304;51;5001;9993682807
305;51;1001;10833
306;52;2001;10833
307;52;3001;10833
308;52;4001;10833
309;52;5001;949254
310;52;5001;9993549257
311;52;1001;10833
312;53;2001;10833
313;53;3001;10833
314;53;4001;10833
315;53;5001;949254
316;53;5001;9993415707
317;53;1001;10833
318;54;2001;10833
319;54;3001;10833
320;54;4001;10833
321;54;5001;949254
322;54;5001;9993282157
323;54;1001;10833
324;55;2001;10833
325;55;3001;10833
326;55;4001;10833
327;55;5001;949254
328;55;5001;9993148607
329;55;1001;10833
330;56;2001;10833
331;56;3001;10833
332;56;4001;10833
333;56;5001;949254
334;56;5001;9993015057
335;56;1001;10833
336;57;2001;10833
337;57;3001;10833
338;57;4001;10833
339;57;5001;949254
340;57;5001;9992881507
341;57;1001;10833
342;58;2001;10833
343;58;3001;10833
344;58;4001;10833
345;58;5001;949254
346;58;5001;9992747957
347;58;1001;10833
348;59;2001;10833
349;59;3001;10833
350;59;4001;10833
351;59;5001;949254
352;59;5001;9992614407
353;59;1001;10833
354;60;2001;10833
355;60;3001;10833
356;60;4001;10833
357;60;5001;949254
358;60;5001;9992480857
359;60;1001;10833
360;61;2001;10833
361;61;3001;10833
362;61;4001;10833
363;61;5001;949254
364;61;5001;9992340277
365;61;1001;10833
366;62;2001;10833
367;62;3001;10833
368;62;4001;10833
369;62;5001;949254
370;62;5001;9992199697
371;62;1001;10833
372;63;2001;10833
373;63;3001;10833
374;63;4001;10833
375;63;5001;949254
376;63;5001;9992059117
377;63;1001;10833
378;64;2001;10833
379;64;3001;10833
380;64;4001;10833
381;64;5001;949254
382;64;5001;9991918537
383;64;1001;10833
384;65;2001;10833
385;65;3001;10833
386;65;4001;10833
387;65;5001;949254
388;65;5001;9991777957
389;65;1001;10833
390;66;2001;10833
391;66;3001;10833
392;66;4001;10833
393;66;5001;949254
394;66;5001;9991637377
395;66;1001;10833
396;67;2001;10833
397;67;3001;10833
398;67;4001;10833
399;67;5001;949254
400;67;5001;9991496797
401;67;1001;10833
402;68;2001;10833
403;68;3001;10833
404;68;4001;10833
405;68;5001;949254
406;68;5001;9991356217
407;68;1001;10833
408;69;2001;10833
409;69;3001;10833
410;69;4001;10833
411;69;5001;949254
412;69;5001;9991215637
413;69;1001;10833
414;70;2001;10833
415;70;3001;10833
416;70;4001;10833
417;70;5001;949254
418;70;5001;9991075057
419;70;1001;10833
420;71;2001;10833
421;71;3001;10833
422;71;4001;10833
423;71;5001;949254
424;71;5001;9990945937
425;71;1001;10833
426;72;2001;10833
427;72;3001;10833
428;72;4001;10833
429;72;5001;949254
430;72;5001;9990816817
431;72;1001;10833
432;73;2001;10833
433;73;3001;10833
434;73;4001;10833
435;73;5001;949254
436;73;5001;9990687697
