Criation_Time, Product, Quantity, Client, Order_id, Status, Notes-fornecedor
1,1001,11763,0,1000001,0,1
2,1001,11783,0,1000002,0,1
3,1001,11771,0,1000003,0,1
4,1001,11833,0,1000004,0,1
5,1001,11813,0,1000005,0,1
6,1001,11853,0,1000006,0,1
7,1001,11906,0,1000007,0,1
8,1001,11933,0,1000008,0,1
9,1001,11850,0,1000009,0,1
10,1001,11769,0,1000010,0,1
11,1001,11847,0,1000011,0,1
12,1001,11814,0,1000012,0,1
13,1001,11789,0,1000013,0,1
14,1001,11806,0,1000014,0,1
15,1001,11915,0,1000015,0,1
16,1001,11940,0,1000016,0,1
17,1001,11987,0,1000017,0,1
18,1001,11861,0,1000018,0,1
19,1001,11813,0,1000019,0,1
20,1001,11842,0,1000020,0,1
21,1001,11824,0,1000021,0,1
22,1001,11785,0,1000022,0,1
23,1001,11773,0,1000023,0,1
24,1001,11849,0,1000024,0,1
25,1001,11854,0,1000025,0,1
26,1001,11876,0,1000026,0,1
27,1001,11892,0,1000027,0,1
28,1001,11869,0,1000028,0,1
29,1001,11797,0,1000029,0,1
30,1001,11833,0,1000030,0,1
31,1001,11787,0,1000031,0,1
32,1001,11740,0,1000032,0,1
33,1001,11692,0,1000033,0,1
34,1001,11645,0,1000034,0,1
35,1001,11634,0,1000035,0,1
36,1001,11670,0,1000036,0,1
37,1001,11702,0,1000037,0,1
38,1001,11708,0,1000038,0,1
39,1001,11752,0,1000039,0,1
40,1001,11730,0,1000040,0,1
41,1001,11768,0,1000041,0,1
42,1001,11795,0,1000042,0,1
43,1001,11770,0,1000043,0,1
44,1001,11765,0,1000044,0,1
45,1001,11795,0,1000045,0,1
46,1001,11799,0,1000046,0,1
47,1001,11787,0,1000047,0,1
48,1001,11750,0,1000048,0,1
49,1001,11698,0,1000049,0,1
50,1001,11741,0,1000050,0,1
51,1001,11785,0,1000051,0,1
52,1001,11810,0,1000052,0,1
53,1001,11852,0,1000053,0,1
54,1001,11821,0,1000054,0,1
55,1001,11856,0,1000055,0,1
56,1001,11819,0,1000056,0,1
57,1001,11832,0,1000057,0,1
58,1001,11727,0,1000058,0,1
59,1001,11704,0,1000059,0,1
60,1001,11698,0,1000060,0,1
61,1001,11652,0,1000061,0,1
62,1001,11702,0,1000062,0,1
