_id,orders_opened,orders_closed,transactions_opened,transactions_delivered,days_passed
6314df8912997615e513cca1,1,0,0,0,0
6314df8912997615e513cca3,1,0,1,0,0
6314df8912997615e513cca4,1,1,1,0,0
6314df8912997615e513cca5,1,1,1,0,1
6314df8912997615e513cca6,2,1,1,0,1
6314df8912997615e513cca8,2,1,2,0,1
6314df8912997615e513cca9,2,2,2,0,1
6314df8912997615e513ccaa,2,2,2,0,2
6314df8912997615e513ccab,3,2,2,0,2
6314df8912997615e513ccad,3,2,3,0,2
6314df8912997615e513ccae,3,3,3,0,2
6314df8912997615e513ccaf,3,3,3,0,3
6314df8912997615e513ccb0,4,3,3,0,3
6314df8912997615e513ccb1,5,3,3,0,3
6314df8912997615e513ccb3,5,3,4,0,3
6314df8912997615e513ccb4,5,4,4,0,3
6314df8912997615e513ccb5,5,4,4,0,4
6314df8912997615e513ccb6,6,4,4,0,4
6314df8912997615e513ccb7,7,4,4,0,4
6314df8912997615e513ccb9,7,4,5,0,4
6314df8912997615e513ccba,7,5,5,0,4
6314df8912997615e513ccbb,7,5,5,0,5
6314df8912997615e513ccbc,8,5,5,0,5
6314df8912997615e513ccbd,9,5,5,0,5
6314df8912997615e513ccbf,9,5,6,0,5
6314df8912997615e513ccc0,9,6,6,0,5
6314df8912997615e513ccc1,9,6,6,0,6
6314df8912997615e513ccc4,9,6,6,1,6
6314df8912997615e513ccc5,10,6,6,1,6
6314df8912997615e513ccc6,11,6,6,1,6
6314df8912997615e513ccc7,12,6,6,1,6
6314df8912997615e513ccc9,12,6,7,1,6
6314df8912997615e513ccca,12,7,7,1,6
6314df8912997615e513cccb,12,7,7,1,7
6314df8912997615e513cccc,13,7,7,1,7
6314df8912997615e513cccd,14,7,7,1,7
6314df8912997615e513ccce,15,7,7,1,7
6314df8912997615e513ccd0,15,7,8,1,7
6314df8912997615e513ccd1,15,8,8,1,7
6314df8a12997615e513ccd2,15,8,8,1,8
6314df8a12997615e513ccd3,16,8,8,1,8
6314df8a12997615e513ccd6,16,8,8,2,8
6314df8a12997615e513ccd7,17,8,8,2,8
6314df8a12997615e513ccd8,18,8,8,2,8
6314df8a12997615e513ccd9,19,8,8,2,8
6314df8a12997615e513ccdb,19,8,9,2,8
6314df8a12997615e513ccdc,19,9,9,2,8
6314df8a12997615e513ccdd,19,9,9,2,9
6314df8a12997615e513ccde,20,9,9,2,9
6314df8a12997615e513ccdf,21,9,9,2,9
6314df8a12997615e513cce0,22,9,9,2,9
6314df8a12997615e513cce1,23,9,9,2,9
6314df8a12997615e513cce2,24,9,9,2,9
6314df8a12997615e513cce4,24,9,10,2,9
6314df8a12997615e513cce5,24,10,10,2,9
6314df8a12997615e513cce7,24,10,11,2,9
6314df8a12997615e513cce8,24,10,11,2,10
6314df8a12997615e513cce9,25,10,11,2,10
6314df8a12997615e513ccea,26,10,11,2,10
6314df8a12997615e513cceb,27,10,11,2,10
6314df8a12997615e513ccec,28,10,11,2,10
6314df8a12997615e513cced,29,10,11,2,10
6314df8a12997615e513ccef,29,10,12,2,10
6314df8a12997615e513ccf0,29,11,12,2,10
6314df8a12997615e513ccf2,29,11,13,2,10
6314df8a12997615e513ccf3,29,11,13,2,11
6314df8a12997615e513ccf6,29,11,13,3,11
6314df8a12997615e513ccf7,30,11,13,3,11
6314df8a12997615e513ccf8,31,11,13,3,11
6314df8a12997615e513ccf9,32,11,13,3,11
6314df8a12997615e513ccfa,33,11,13,3,11
6314df8a12997615e513ccfb,34,11,13,3,11
6314df8a12997615e513ccfd,34,11,14,3,11
6314df8a12997615e513ccfe,34,12,14,3,11
6314df8a12997615e513cd00,34,12,15,3,11
6314df8a12997615e513cd01,34,12,15,3,12
6314df8a12997615e513cd04,34,12,15,4,12
6314df8a12997615e513cd05,35,12,15,4,12
6314df8a12997615e513cd06,36,12,15,4,12
6314df8a12997615e513cd07,37,12,15,4,12
6314df8a12997615e513cd08,38,12,15,4,12
6314df8a12997615e513cd09,39,12,15,4,12
6314df8a12997615e513cd0b,39,12,16,4,12
6314df8a12997615e513cd0c,39,13,16,4,12
6314df8a12997615e513cd0e,39,13,17,4,12
6314df8a12997615e513cd0f,39,13,17,4,13
6314df8a12997615e513cd10,40,13,17,4,13
6314df8a12997615e513cd11,41,13,17,4,13
6314df8a12997615e513cd12,42,13,17,4,13
6314df8a12997615e513cd13,43,13,17,4,13
6314df8a12997615e513cd14,44,13,17,4,13
