_id,deliver_day,order_id,order_criation_day,sending_day,receiver,sender,product,quantity,transit_time,lead_time,theoretical_lead,transaction_id,delivered,update_day
1,7,1000001,1,1,0,1,1001,3459,,6,6,1,1,7
6,9,2000003,6,6,1,2,2001,3459,,3,3,6,1,9
3,12,1000003,3,3,0,1,1001,3459,,9,9,3,1,12
2,13,1000002,2,2,0,1,1001,3459,,11,11,2,1,13
16,16,5000004,13,13,4,5,5001,10568,,3,3,16,1,16
12,17,5000002,11,11,4,5,5001,10568,,6,6,12,1,17
13,18,5000002,11,11,4,5,5001,10568,,7,7,13,1,18
4,19,2000001,4,4,1,2,2001,3459,,15,15,4,1,19
8,19,3000002,8,8,2,3,3001,3458,,11,11,8,1,19
18,19,5000005,14,14,4,5,5001,10568,,5,5,18,1,19
5,21,2000002,5,5,1,2,2001,3459,,16,16,5,1,21
14,21,5000003,12,12,4,5,5001,10568,,9,9,14,1,21
7,22,3000001,7,7,2,3,3001,3458,,15,15,7,1,22
11,22,5000001,10,10,4,5,5001,10568,,12,12,11,1,22
10,23,5000001,10,10,4,5,5001,10568,,13,13,10,1,23
15,21,5000003,12,12,4,5,5001,10568,,12,9,15,1,24
9,25,4000001,9,9,3,4,4001,10568,,16,16,9,1,25
19,22,5000005,14,14,4,5,5001,10568,,11,8,19,1,25
17,26,5000004,13,13,4,5,5001,10568,,13,13,17,1,26
20,26,5000006,15,15,4,5,5001,10568,,12,11,20,1,27
21,25,5000006,15,15,4,5,5001,10568,,13,10,21,1,28
22,24,5000007,16,16,4,5,5001,39192,,13,8,22,1,29
23,30,5000007,16,16,4,5,5001,39192,,14,14,23,1,30
24,30,5000008,17,17,4,5,5001,94197,,14,13,24,1,31
25,23,5000008,17,17,4,5,5001,94197,,15,6,25,1,32
26,23,5000009,18,18,4,5,5001,109590,,15,5,26,1,33
27,28,5000009,18,18,4,5,5001,109590,,16,10,27,1,34
109,127,1000117,117,117,0,1,1001,3031,,10,10,109,1,127
111,132,1000118,118,118,0,1,1001,3031,,14,14,111,1,132
112,132,1000119,119,119,0,1,1001,3031,,13,13,112,1,132
110,133,1000117,117,117,0,1,1001,3031,,16,16,110,1,133
