_id,inventory
1,"{'1': {'1001': {'name': 'ProductA', 'id': 1001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'2001': 1}, 'in_stock': 13648}}, '2': {'2001': {'name': 'ProductB', 'id': 2001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'3001': 1}, 'in_stock': 13648}}, '3': {'3001': {'name': 'ProductC', 'id': 3001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'4001': 1}, 'in_stock': 13648}}, '4': {'4001': {'name': 'ProductD', 'id': 4001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'5001': 1}, 'in_stock': 13648}}, '5': {'5001': {'name': 'ProductE', 'id': 5001, 'initial_stock': 9999999999, 'safety_stock': 1, 'reorder_history_size': 7, 'in_stock': 9999999999}}, '0': {'0': {'name': 'Product_Null', 'id': 0, 'initial_stock': 0, 'safety_stock': 0, 'composition': {'0000': 0}, 'in_stock': 0}}}"
2,"{'1': {'1001': {'name': 'ProductA', 'id': 1001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'2001': 1}, 'in_stock': 10189}}, '2': {'2001': {'name': 'ProductB', 'id': 2001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'3001': 1}, 'in_stock': 13648}}, '3': {'3001': {'name': 'ProductC', 'id': 3001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'4001': 1}, 'in_stock': 13648}}, '4': {'4001': {'name': 'ProductD', 'id': 4001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'5001': 1}, 'in_stock': 13648}}, '5': {'5001': {'name': 'ProductE', 'id': 5001, 'initial_stock': 9999999999, 'safety_stock': 1, 'reorder_history_size': 7, 'in_stock': 9999999999}}, '0': {'0': {'name': 'Product_Null', 'id': 0, 'initial_stock': 0, 'safety_stock': 0, 'composition': {'0000': 0}, 'in_stock': 0}}}"
3,"{'1': {'1001': {'name': 'ProductA', 'id': 1001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'2001': 1}, 'in_stock': 6730}}, '2': {'2001': {'name': 'ProductB', 'id': 2001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'3001': 1}, 'in_stock': 13648}}, '3': {'3001': {'name': 'ProductC', 'id': 3001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'4001': 1}, 'in_stock': 13648}}, '4': {'4001': {'name': 'ProductD', 'id': 4001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'5001': 1}, 'in_stock': 13648}}, '5': {'5001': {'name': 'ProductE', 'id': 5001, 'initial_stock': 9999999999, 'safety_stock': 1, 'reorder_history_size': 7, 'in_stock': 9999999999}}, '0': {'0': {'name': 'Product_Null', 'id': 0, 'initial_stock': 0, 'safety_stock': 0, 'composition': {'0000': 0}, 'in_stock': 0}}}"
4,"{'1': {'1001': {'name': 'ProductA', 'id': 1001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'2001': 1}, 'in_stock': 3271}}, '2': {'2001': {'name': 'ProductB', 'id': 2001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'3001': 1}, 'in_stock': 13648}}, '3': {'3001': {'name': 'ProductC', 'id': 3001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'4001': 1}, 'in_stock': 13648}}, '4': {'4001': {'name': 'ProductD', 'id': 4001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'5001': 1}, 'in_stock': 13648}}, '5': {'5001': {'name': 'ProductE', 'id': 5001, 'initial_stock': 9999999999, 'safety_stock': 1, 'reorder_history_size': 7, 'in_stock': 9999999999}}, '0': {'0': {'name': 'Product_Null', 'id': 0, 'initial_stock': 0, 'safety_stock': 0, 'composition': {'0000': 0}, 'in_stock': 0}}}"
5,"{'1': {'1001': {'name': 'ProductA', 'id': 1001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'2001': 1}, 'in_stock': 3271}}, '2': {'2001': {'name': 'ProductB', 'id': 2001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'3001': 1}, 'in_stock': 10189}}, '3': {'3001': {'name': 'ProductC', 'id': 3001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'4001': 1}, 'in_stock': 13648}}, '4': {'4001': {'name': 'ProductD', 'id': 4001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'5001': 1}, 'in_stock': 13648}}, '5': {'5001': {'name': 'ProductE', 'id': 5001, 'initial_stock': 9999999999, 'safety_stock': 1, 'reorder_history_size': 7, 'in_stock': 9999999999}}, '0': {'0': {'name': 'Product_Null', 'id': 0, 'initial_stock': 0, 'safety_stock': 0, 'composition': {'0000': 0}, 'in_stock': 0}}}"
6,"{'1': {'1001': {'name': 'ProductA', 'id': 1001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'2001': 1}, 'in_stock': 3271}}, '2': {'2001': {'name': 'ProductB', 'id': 2001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'3001': 1}, 'in_stock': 6730}}, '3': {'3001': {'name': 'ProductC', 'id': 3001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'4001': 1}, 'in_stock': 13648}}, '4': {'4001': {'name': 'ProductD', 'id': 4001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'5001': 1}, 'in_stock': 13648}}, '5': {'5001': {'name': 'ProductE', 'id': 5001, 'initial_stock': 9999999999, 'safety_stock': 1, 'reorder_history_size': 7, 'in_stock': 9999999999}}, '0': {'0': {'name': 'Product_Null', 'id': 0, 'initial_stock': 0, 'safety_stock': 0, 'composition': {'0000': 0}, 'in_stock': 0}}}"
7,"{'1': {'1001': {'name': 'ProductA', 'id': 1001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'2001': 1}, 'in_stock': 3271}}, '2': {'2001': {'name': 'ProductB', 'id': 2001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'3001': 1}, 'in_stock': 3271}}, '3': {'3001': {'name': 'ProductC', 'id': 3001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'4001': 1}, 'in_stock': 13648}}, '4': {'4001': {'name': 'ProductD', 'id': 4001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'5001': 1}, 'in_stock': 13648}}, '5': {'5001': {'name': 'ProductE', 'id': 5001, 'initial_stock': 9999999999, 'safety_stock': 1, 'reorder_history_size': 7, 'in_stock': 9999999999}}, '0': {'0': {'name': 'Product_Null', 'id': 0, 'initial_stock': 0, 'safety_stock': 0, 'composition': {'0000': 0}, 'in_stock': 0}}}"
8,"{'1': {'1001': {'name': 'ProductA', 'id': 1001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'2001': 1}, 'in_stock': 3271}}, '2': {'2001': {'name': 'ProductB', 'id': 2001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'3001': 1}, 'in_stock': 3271}}, '3': {'3001': {'name': 'ProductC', 'id': 3001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'4001': 1}, 'in_stock': 10190}}, '4': {'4001': {'name': 'ProductD', 'id': 4001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'5001': 1}, 'in_stock': 13648}}, '5': {'5001': {'name': 'ProductE', 'id': 5001, 'initial_stock': 9999999999, 'safety_stock': 1, 'reorder_history_size': 7, 'in_stock': 9999999999}}, '0': {'1001': {'id': 1001, 'in_stock': 3459}}}"
9,"{'1': {'1001': {'name': 'ProductA', 'id': 1001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'2001': 1}, 'in_stock': 3271}}, '2': {'2001': {'name': 'ProductB', 'id': 2001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'3001': 1}, 'in_stock': 3271}}, '3': {'3001': {'name': 'ProductC', 'id': 3001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'4001': 1}, 'in_stock': 6732}}, '4': {'4001': {'name': 'ProductD', 'id': 4001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'5001': 1}, 'in_stock': 13648}}, '5': {'5001': {'name': 'ProductE', 'id': 5001, 'initial_stock': 9999999999, 'safety_stock': 1, 'reorder_history_size': 7, 'in_stock': 9999999999}}, '0': {'1001': {'id': 1001, 'in_stock': 3459}}}"
10,"{'1': {'2001': {'id': 2001, 'in_stock': 3459}}, '2': {'2001': {'name': 'ProductB', 'id': 2001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'3001': 1}, 'in_stock': 3271}}, '3': {'3001': {'name': 'ProductC', 'id': 3001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'4001': 1}, 'in_stock': 6732}}, '4': {'4001': {'name': 'ProductD', 'id': 4001, 'initial_stock': 13648, 'safety_stock': 0, 'composition': {'5001': 1}, 'in_stock': 3080}}, '5': {'5001': {'name': 'ProductE', 'id': 5001, 'initial_stock': 9999999999, 'safety_stock': 1, 'reorder_history_size': 7, 'in_stock': 9999999999}}, '0': {'1001': {'id': 1001, 'in_stock': 3459}}}"
