_id,deliver_day,order_id,order_criation_day,sending_day,receiver,sender,product,quantity,transit_time,lead_time,theoretical_lead,transaction_id
1,7,1000001,1,1,0,1,1001,3459,,,6,1
2,13,1000002,2,2,0,1,1001,3459,,,11,2
3,12,1000003,3,3,0,1,1001,3459,,,9,3
4,19,2000001,4,4,1,2,2001,3459,,,15,4
5,21,2000002,5,5,1,2,2001,3459,,,16,5
6,9,2000003,6,6,1,2,2001,3459,,,3,6
7,22,3000001,7,7,2,3,3001,3458,,,15,7
8,19,3000002,8,8,2,3,3001,3458,,,11,8
9,25,4000001,9,9,3,4,4001,10568,,,16,9
10,23,5000001,10,10,4,5,5001,10568,,,13,10
11,22,5000001,10,10,4,5,5001,10568,,,12,11
12,17,5000002,11,11,4,5,5001,10568,,,6,12
13,18,5000002,11,11,4,5,5001,10568,,,7,13
14,21,5000003,12,12,4,5,5001,10568,,,9,14
15,21,5000003,12,12,4,5,5001,10568,,,9,15
16,16,5000004,13,13,4,5,5001,10568,,,3,16
17,26,5000004,13,13,4,5,5001,10568,,,13,17
18,19,5000005,14,14,4,5,5001,10568,,,5,18
19,22,5000005,14,14,4,5,5001,10568,,,8,19
20,26,5000006,15,15,4,5,5001,10568,,,11,20
21,25,5000006,15,15,4,5,5001,10568,,,10,21
22,24,5000007,16,16,4,5,5001,39192,,,8,22
23,30,5000007,16,16,4,5,5001,39192,,,14,23
24,30,5000008,17,17,4,5,5001,94197,,,13,24
25,23,5000008,17,17,4,5,5001,94197,,,6,25
26,23,5000009,18,18,4,5,5001,109590,,,5,26
27,28,5000009,18,18,4,5,5001,109590,,,10,27
28,30,5000010,19,19,4,5,5001,1143254,,,11,28
29,30,5000010,19,19,4,5,5001,1143254,,,11,29
30,29,5000011,20,20,4,5,5001,1694635,,,9,30
31,26,5000011,20,20,4,5,5001,1694635,,,6,31
32,33,5000012,21,21,4,5,5001,2422360,,,12,32
33,34,5000012,21,21,4,5,5001,2422360,,,13,33
34,35,5000013,22,22,4,5,5001,3590869,,,13,34
35,34,5000013,22,22,4,5,5001,3590869,,,12,35
36,32,5000014,23,23,4,5,5001,4701731,,,9,36
37,35,5000014,23,23,4,5,5001,4701731,,,12,37
38,31,5000015,24,24,4,5,5001,5417330,,,7,38
39,36,5000015,24,24,4,5,5001,5417330,,,12,39
40,32,5000016,25,25,4,5,5001,26333875,,,7,40
41,35,5000016,25,25,4,5,5001,26333875,,,10,41
42,42,5000017,26,26,4,5,5001,37676876,,,16,42
43,34,5000017,26,26,4,5,5001,37676876,,,8,43
44,39,5000018,27,27,4,5,5001,47565621,,,12,44
45,41,5000018,27,27,4,5,5001,47565621,,,14,45
46,38,5000019,28,28,4,5,5001,56486947,,,10,46
47,38,5000019,28,28,4,5,5001,56486947,,,10,47
48,38,5000020,29,29,4,5,5001,64279266,,,9,48
49,39,5000020,29,29,4,5,5001,64279266,,,10,49
50,42,5000021,30,30,4,5,5001,74467837,,,12,50
51,42,5000021,30,30,4,5,5001,74467837,,,12,51
52,45,5000022,31,31,4,5,5001,83734622,,,14,52
53,40,5000022,31,31,4,5,5001,83734622,,,9,53
54,44,5000023,32,32,4,5,5001,90405252,,,12,54
55,40,5000023,32,32,4,5,5001,90405252,,,8,55
56,44,5000024,33,33,4,5,5001,96745117,,,11,56
57,45,5000024,33,33,4,5,5001,96745117,,,12,57
58,42,5000025,34,34,4,5,5001,103599235,,,8,58
59,47,5000025,34,34,4,5,5001,103599235,,,13,59
60,50,5000026,35,35,4,5,5001,110389820,,,15,60
61,39,5000026,35,35,4,5,5001,110389820,,,4,61
62,47,5000027,36,36,4,5,5001,116965068,,,11,62
63,46,5000027,36,36,4,5,5001,116965068,,,10,63
64,52,5000028,37,37,4,5,5001,123333588,,,15,64
65,47,5000028,37,37,4,5,5001,123333588,,,10,65
