_id,deliver_day,order_id,order_criation_day,sending_day,receiver,sender,product,quantity,transit_time,lead_time,theoretical_lead,transaction_id,delivered,update_day
1,7,1000001,1,1,0,1,1001,10833,,6,6,1,1,7
3,9,3000001,2,2,2,3,3001,10833,,7,7,3,1,9
4,9,4000001,2,2,3,4,4001,10833,,7,7,4,1,9
8,9,5000002,2,2,4,5,5001,10833,,7,7,8,1,9
10,9,5000003,3,3,4,5,5001,10833,,7,6,10,1,10
2,11,2000001,2,2,1,2,2001,10833,,9,9,2,1,11
6,11,5000001,2,2,4,5,5001,10833,,9,9,6,1,11
7,11,5000002,2,2,4,5,5001,10833,,10,9,7,1,12
19,13,5000008,5,5,4,5,5001,43332,,8,8,19,1,13
13,14,5000005,4,4,4,5,5001,10833,,10,10,13,1,14
5,15,5000001,2,2,4,5,5001,10833,,13,13,5,1,15
9,15,5000003,3,3,4,5,5001,10833,,13,12,9,1,16
11,16,5000004,3,3,4,5,5001,43332,,14,13,11,1,17
12,15,5000004,3,3,4,5,5001,43332,,15,12,12,1,18
14,17,5000005,4,4,4,5,5001,10833,,15,13,14,1,19
15,15,5000006,4,4,4,5,5001,43332,,16,11,15,1,20
16,19,5000006,4,4,4,5,5001,43332,,17,15,16,1,21
17,16,5000007,5,5,4,5,5001,10833,,17,11,17,1,22
18,15,5000007,5,5,4,5,5001,10833,,18,10,18,1,23
20,14,5000008,5,5,4,5,5001,43332,,19,9,20,1,24
21,19,5000009,6,6,4,5,5001,10833,,19,13,21,1,25
22,16,5000009,6,6,4,5,5001,10833,,20,10,22,1,26
23,18,5000010,6,6,4,5,5001,43332,,21,12,23,1,27
24,14,5000010,6,6,4,5,5001,43332,,22,8,24,1,28
25,16,5000011,7,7,4,5,5001,10833,,22,9,25,1,29
26,14,5000011,7,7,4,5,5001,10833,,23,7,26,1,30
27,20,5000012,7,7,4,5,5001,43332,,24,13,27,1,31
28,16,5000012,7,7,4,5,5001,43332,,25,9,28,1,32
29,18,5000013,8,8,4,5,5001,10833,,25,10,29,1,33
30,18,5000013,8,8,4,5,5001,10833,,26,10,30,1,34
31,17,5000014,8,8,4,5,5001,43332,,27,9,31,1,35
32,17,5000014,8,8,4,5,5001,43332,,28,9,32,1,36
33,24,5000015,9,9,4,5,5001,10833,,28,15,33,1,37
34,15,5000015,9,9,4,5,5001,10833,,29,6,34,1,38
35,16,5000016,9,9,4,5,5001,43332,,30,7,35,1,39
36,12,5000016,9,9,4,5,5001,43332,,31,3,36,1,40
37,20,5000017,10,10,4,5,5001,12301,,31,10,37,1,41
38,18,5000017,10,10,4,5,5001,12301,,32,8,38,1,42
39,15,5000018,10,10,4,5,5001,49204,,33,5,39,1,43
40,18,5000018,10,10,4,5,5001,49204,,34,8,40,1,44
41,22,5000019,11,11,4,5,5001,12301,,34,11,41,1,45
42,19,5000019,11,11,4,5,5001,12301,,35,8,42,1,46
