_id,orders_opened,orders_closed,transactions_opened,transactions_delivered,days_passed
631677a48074c96885f511ea,1,0,0,0,0
631677a48074c96885f511ec,1,0,1,0,0
631677a48074c96885f511ed,1,1,1,0,0
631677a48074c96885f511ee,1,1,1,0,1
631677a48074c96885f511ef,2,1,1,0,1
631677a48074c96885f511f0,3,1,1,0,1
631677a48074c96885f511f1,4,1,1,0,1
631677a48074c96885f511f2,5,1,1,0,1
631677a48074c96885f511f3,6,1,1,0,1
631677a48074c96885f511f4,7,1,1,0,1
631677a48074c96885f511f6,7,1,2,0,1
631677a48074c96885f511f7,7,2,2,0,1
631677a48074c96885f511f8,8,2,2,0,1
631677a48074c96885f511fa,8,2,3,0,1
631677a48074c96885f511fb,8,3,3,0,1
631677a48074c96885f511fc,9,3,3,0,1
631677a48074c96885f511fe,9,3,4,0,1
631677a48074c96885f511ff,9,4,4,0,1
631677a48074c96885f51200,10,4,4,0,1
631677a48074c96885f51202,10,4,5,0,1
631677a48074c96885f51203,10,5,5,0,1
631677a48074c96885f51205,10,5,6,0,1
631677a48074c96885f51207,10,5,7,0,1
631677a48074c96885f51208,10,6,7,0,1
631677a48074c96885f5120a,10,6,8,0,1
631677a48074c96885f5120b,10,6,8,0,2
631677a48074c96885f5120c,11,6,8,0,2
631677a48074c96885f5120d,12,6,8,0,2
631677a48074c96885f5120e,13,6,8,0,2
631677a48074c96885f5120f,14,6,8,0,2
631677a48074c96885f51210,15,6,8,0,2
631677a48074c96885f51211,16,6,8,0,2
631677a48074c96885f51212,17,6,8,0,2
631677a48074c96885f51213,18,6,8,0,2
631677a48074c96885f51214,19,6,8,0,2
631677a48074c96885f51216,19,6,9,0,2
631677a48074c96885f51217,19,7,9,0,2
631677a48074c96885f51219,19,7,10,0,2
631677a48074c96885f5121b,19,7,11,0,2
631677a48074c96885f5121c,19,8,11,0,2
631677a48074c96885f5121e,19,8,12,0,2
631677a48074c96885f5121f,19,8,12,0,3
631677a48074c96885f51220,20,8,12,0,3
631677a48074c96885f51221,21,8,12,0,3
631677a48074c96885f51222,22,8,12,0,3
631677a48074c96885f51223,23,8,12,0,3
631677a48074c96885f51224,24,8,12,0,3
631677a48074c96885f51225,25,8,12,0,3
631677a48074c96885f51226,26,8,12,0,3
631677a48074c96885f51227,27,8,12,0,3
631677a48074c96885f51228,28,8,12,0,3
631677a58074c96885f5122a,28,8,13,0,3
631677a58074c96885f5122b,28,9,13,0,3
631677a58074c96885f5122d,28,9,14,0,3
631677a58074c96885f5122f,28,9,15,0,3
631677a58074c96885f51230,28,10,15,0,3
631677a58074c96885f51232,28,10,16,0,3
631677a58074c96885f51233,28,10,16,0,4
631677a58074c96885f51234,29,10,16,0,4
631677a58074c96885f51235,30,10,16,0,4
631677a58074c96885f51236,31,10,16,0,4
631677a58074c96885f51237,32,10,16,0,4
631677a58074c96885f51238,33,10,16,0,4
631677a58074c96885f51239,34,10,16,0,4
631677a58074c96885f5123a,35,10,16,0,4
631677a58074c96885f5123b,36,10,16,0,4
631677a58074c96885f5123c,37,10,16,0,4
631677a58074c96885f5123e,37,10,17,0,4
631677a58074c96885f5123f,37,11,17,0,4
631677a58074c96885f51241,37,11,18,0,4
631677a58074c96885f51243,37,11,19,0,4
631677a58074c96885f51244,37,12,19,0,4
631677a58074c96885f51246,37,12,20,0,4
631677a58074c96885f51247,37,12,20,0,5
631677a58074c96885f51248,38,12,20,0,5
631677a58074c96885f51249,39,12,20,0,5
631677a58074c96885f5124a,40,12,20,0,5
631677a58074c96885f5124b,41,12,20,0,5
631677a58074c96885f5124c,42,12,20,0,5
631677a58074c96885f5124d,43,12,20,0,5
631677a58074c96885f5124e,44,12,20,0,5
