_id,action,response
1,__init__,None
2,get_document_by_id,get document from inventory_1 with id:1001
3,update_inventory_db,<pymongo.results.InsertOneResult object at 0x00000296B95AB8B0>
4,get_document_by_id,get document from inventory_2 with id:2001
5,update_inventory_db,<pymongo.results.InsertOneResult object at 0x00000296B95AB970>
6,get_document_by_id,get document from inventory_3 with id:3001
7,update_inventory_db,<pymongo.results.InsertOneResult object at 0x00000296B95ABA60>
8,get_document_by_id,get document from inventory_4 with id:4001
9,update_inventory_db,<pymongo.results.InsertOneResult object at 0x00000296B95ABB20>
10,get_document_by_id,get document from inventory_5 with id:5001
11,update_inventory_db,<pymongo.results.InsertOneResult object at 0x00000296B95ABBB0>
12,get_document_by_id,get document from inventory_0 with id:0
13,update_inventory_db,<pymongo.results.InsertOneResult object at 0x00000296B95ABB50>
14,add_order_to_db,<pymongo.results.InsertOneResult object at 0x000002968F1A3130>
15,get_document_by_id,get document from inventory_1 with id:1001
16,update_inventory_db,<pymongo.results.UpdateResult object at 0x00000296B95450A0>
17,add_transaction_to_db,<pymongo.results.InsertOneResult object at 0x00000296B9531F10>
18,close_order_on_db,<pymongo.results.UpdateResult object at 0x00000296B94C8880>
19,add_order_to_db,<pymongo.results.InsertOneResult object at 0x00000296B94C8880>
20,get_document_by_id,get document from inventory_1 with id:1001
21,update_inventory_db,<pymongo.results.UpdateResult object at 0x00000296B94C8880>
22,add_transaction_to_db,<pymongo.results.InsertOneResult object at 0x00000296B9531580>
23,close_order_on_db,<pymongo.results.UpdateResult object at 0x00000296B9531EE0>
24,add_order_to_db,<pymongo.results.InsertOneResult object at 0x00000296B9531EE0>
25,get_document_by_id,get document from inventory_1 with id:1001
26,update_inventory_db,<pymongo.results.UpdateResult object at 0x00000296B9531F10>
27,add_transaction_to_db,<pymongo.results.InsertOneResult object at 0x00000296B9531580>
28,close_order_on_db,<pymongo.results.UpdateResult object at 0x00000296B96600A0>
29,add_order_to_db,<pymongo.results.InsertOneResult object at 0x00000296B9660220>
30,add_order_to_db,<pymongo.results.InsertOneResult object at 0x00000296B9660070>
31,get_document_by_id,get document from inventory_2 with id:2001
32,update_inventory_db,<pymongo.results.UpdateResult object at 0x00000296B9660040>
33,add_transaction_to_db,<pymongo.results.InsertOneResult object at 0x00000296B9660160>
34,close_order_on_db,<pymongo.results.UpdateResult object at 0x00000296B96600A0>
35,add_order_to_db,<pymongo.results.InsertOneResult object at 0x00000296B96602B0>
36,add_order_to_db,<pymongo.results.InsertOneResult object at 0x00000296B9660160>
37,get_document_by_id,get document from inventory_2 with id:2001
38,update_inventory_db,<pymongo.results.UpdateResult object at 0x00000296B9660160>
39,add_transaction_to_db,<pymongo.results.InsertOneResult object at 0x00000296B9660280>
40,close_order_on_db,<pymongo.results.UpdateResult object at 0x00000296B9660220>
41,add_order_to_db,<pymongo.results.InsertOneResult object at 0x00000296B96600A0>
42,add_order_to_db,<pymongo.results.InsertOneResult object at 0x00000296B9660190>
43,get_document_by_id,get document from inventory_2 with id:2001
44,update_inventory_db,<pymongo.results.UpdateResult object at 0x00000296B9660190>
45,add_transaction_to_db,<pymongo.results.InsertOneResult object at 0x00000296B9660250>
46,close_order_on_db,<pymongo.results.UpdateResult object at 0x00000296B96601F0>
47,get_document_by_id,get document from inventory_0 with id:1001
48,update_inventory_db,<pymongo.results.InsertOneResult object at 0x00000296B96601C0>
49,get_document_by_id,get document from inventory_0 with id:1001
50,update_inventory_db,<pymongo.results.UpdateResult object at 0x00000296B96601C0>
51,add_order_to_db,<pymongo.results.InsertOneResult object at 0x00000296B9660130>
52,add_order_to_db,<pymongo.results.InsertOneResult object at 0x00000296B9660070>
53,add_order_to_db,<pymongo.results.InsertOneResult object at 0x00000296B96602B0>
54,get_document_by_id,get document from inventory_3 with id:3001
55,update_inventory_db,<pymongo.results.UpdateResult object at 0x00000296B9660070>
56,add_transaction_to_db,<pymongo.results.InsertOneResult object at 0x00000296B9660130>
57,close_order_on_db,<pymongo.results.UpdateResult object at 0x00000296B95ABBE0>
