;day;id;in_stock
0;1;1001;13648
1;1;2001;13648
2;1;3001;13648
3;1;4001;13648
4;1;5001;9999999999
5;1;0;0
6;2;1001;10189
7;2;2001;13648
8;2;3001;13648
9;2;4001;13648
10;2;5001;9999999999
11;2;0;0
12;3;1001;6730
13;3;2001;13648
14;3;3001;13648
15;3;4001;13648
16;3;5001;9999999999
17;3;0;0
18;4;1001;3271
19;4;2001;13648
20;4;3001;13648
21;4;4001;13648
22;4;5001;9999999999
23;4;0;0
24;5;1001;3271
25;5;2001;10189
26;5;3001;13648
27;5;4001;13648
28;5;5001;9999999999
29;5;0;0
30;6;1001;3271
31;6;2001;6730
32;6;3001;13648
33;6;4001;13648
34;6;5001;9999999999
35;6;0;0
36;7;1001;3271
37;7;2001;3271
38;7;3001;13648
39;7;4001;13648
40;7;5001;9999999999
41;7;0;0
42;8;1001;3271
43;8;2001;3271
44;8;3001;10190
45;8;4001;13648
46;8;5001;9999999999
47;8;1001;3459
48;9;1001;3271
49;9;2001;3271
50;9;3001;6732
51;9;4001;13648
52;9;5001;9999999999
53;9;1001;3459
54;10;2001;3459
55;10;2001;3271
56;10;3001;6732
57;10;4001;3080
58;10;5001;9999999999
59;10;1001;3459
60;11;2001;3459
61;11;2001;3271
62;11;3001;6732
63;11;4001;3080
64;11;5001;9999978863
65;11;1001;3459
66;12;2001;3459
67;12;2001;3271
68;12;3001;6732
69;12;4001;3080
70;12;5001;9999957727
71;12;1001;3459
72;13;2001;3459
73;13;2001;3271
74;13;3001;6732
75;13;4001;3080
76;13;5001;9999936591
77;13;1001;6918
78;14;2001;3459
79;14;2001;3271
80;14;3001;6732
81;14;4001;3080
82;14;5001;9999915455
83;14;1001;10377
84;15;2001;3459
85;15;2001;3271
86;15;3001;6732
87;15;4001;3080
88;15;5001;9999894319
89;15;1001;10377
90;16;2001;3459
91;16;2001;3271
92;16;3001;6732
93;16;4001;3080
94;16;5001;9999873183
95;16;1001;10377
96;17;2001;3459
97;17;2001;3271
98;17;3001;6732
99;17;5001;10568
100;17;5001;9999794799
101;17;1001;10377
102;18;2001;3459
103;18;2001;3271
104;18;3001;6732
105;18;5001;21136
106;18;5001;9999606405
107;18;1001;10377
108;19;2001;3459
109;19;2001;3271
110;19;3001;6732
111;19;5001;31704
112;19;5001;9999387225
113;19;1001;10377
114;20;2001;6918
115;20;3001;3458
116;20;3001;6732
117;20;5001;42272
118;20;5001;9997100717
119;20;1001;10377
120;21;2001;6918
121;21;3001;3458
122;21;3001;6732
123;21;5001;42272
124;21;5001;9993711447
125;21;1001;10377
126;22;2001;10377
127;22;3001;3458
128;22;3001;6732
129;22;5001;52840
130;22;5001;9988866727
131;22;1001;10377
132;23;2001;10377
133;23;3001;6916
134;23;3001;6732
135;23;5001;63408
136;23;5001;9981684989
137;23;1001;10377
138;24;2001;10377
139;24;3001;6916
140;24;3001;6732
141;24;5001;73976
142;24;5001;9972281527
143;24;1001;10377
144;25;2001;10377
145;25;3001;6916
146;25;3001;6732
147;25;5001;84544
148;25;5001;9961446867
149;25;1001;10377
150;26;2001;10377
151;26;3001;6916
152;26;4001;10568
153;26;5001;95112
154;26;5001;9908779117
155;26;1001;10377
156;27;2001;10377
157;27;3001;6916
158;27;4001;10568
159;27;5001;105680
160;27;5001;9833425365
161;27;1001;10377
162;28;2001;10377
163;28;3001;6916
164;28;4001;10568
165;28;5001;116248
166;28;5001;9738294123
167;28;1001;10377
168;29;2001;10377
169;29;3001;6916
170;29;4001;10568
171;29;5001;126816
172;29;5001;9625320229
173;29;1001;10377
174;30;2001;10377
175;30;3001;6916
176;30;4001;10568
177;30;5001;166008
178;30;5001;9496761697
179;30;1001;10377
180;31;2001;10377
181;31;3001;6916
182;31;4001;10568
183;31;5001;205200
184;31;5001;9347826023
185;31;1001;10377
186;32;2001;10377
187;32;3001;6916
188;32;4001;10568
189;32;5001;299397
190;32;5001;9180356779
191;32;1001;10377
192;33;2001;10377
193;33;3001;6916
194;33;4001;10568
195;33;5001;393594
196;33;5001;8999546275
197;33;1001;10377
198;34;2001;10377
199;34;3001;6916
200;34;4001;10568
201;34;5001;503184
202;34;5001;8806056041
203;34;1001;10377
204;35;2001;10377
205;35;3001;6916
206;35;4001;10568
207;35;5001;612774
208;35;5001;8598857571
209;35;1001;10377
210;36;2001;10377
211;36;3001;6916
212;36;4001;10568
213;36;5001;612774
214;36;5001;8378077931
215;36;1001;10377
216;37;2001;10377
217;37;3001;6916
218;37;4001;10568
219;37;5001;612774
220;37;5001;8144147795
221;37;1001;10377
222;38;2001;10377
223;38;3001;6916
224;38;4001;10568
225;38;5001;612774
226;38;5001;7897480619
227;38;1001;10377
228;39;2001;10377
229;39;3001;6916
230;39;4001;10568
231;39;5001;612774
232;39;5001;7638465481
233;39;1001;10377
234;40;2001;10377
235;40;3001;6916
236;40;4001;10568
237;40;5001;612774
238;40;5001;7367473199
239;40;1001;10377
240;41;2001;10377
241;41;3001;6916
242;41;4001;10568
243;41;5001;612774
244;41;5001;7084857247
245;41;1001;10377
246;42;2001;10377
247;42;3001;6916
248;42;4001;10568
249;42;5001;612774
250;42;5001;6790954795
251;42;1001;10377
252;43;2001;10377
253;43;3001;6916
254;43;4001;10568
255;43;5001;612774
256;43;5001;6486088171
257;43;1001;10377
258;44;2001;10377
259;44;3001;6916
260;44;4001;10568
261;44;5001;612774
262;44;5001;6170565195
263;44;1001;10377
264;45;2001;10377
265;45;3001;6916
266;45;4001;10568
267;45;5001;612774
268;45;5001;5844680775
269;45;1001;10377
270;46;2001;10377
271;46;3001;6916
272;46;4001;10568
273;46;5001;612774
274;46;5001;5508717103
275;46;1001;10377
276;47;2001;10377
277;47;3001;6916
278;47;4001;10568
279;47;5001;612774
280;47;5001;5162944713
281;47;1001;10377
282;48;2001;10377
283;48;3001;6916
284;48;4001;10568
285;48;5001;612774
286;48;5001;4807619179
287;48;1001;10377
288;49;2001;10377
289;49;3001;6916
290;49;4001;10568
291;49;5001;612774
292;49;5001;4442988197
293;49;1001;10377
294;50;2001;10377
295;50;3001;6916
296;50;4001;10568
297;50;5001;612774
298;50;5001;4069288421
299;50;1001;10377
300;51;2001;10377
301;51;3001;6916
302;51;4001;10568
303;51;5001;612774
304;51;5001;3686747033
305;51;1001;10377
306;52;2001;10377
307;52;3001;6916
308;52;4001;10568
309;52;5001;612774
310;52;5001;3295582015
311;52;1001;10377
312;53;2001;10377
313;53;3001;6916
314;53;4001;10568
315;53;5001;612774
316;53;5001;2896002879
317;53;1001;10377
318;54;2001;10377
319;54;3001;6916
320;54;4001;10568
321;54;5001;612774
322;54;5001;2488210783
323;54;1001;10377
324;55;2001;10377
325;55;3001;6916
326;55;4001;10568
327;55;5001;612774
328;55;5001;2072399191
329;55;1001;10377
330;56;2001;10377
331;56;3001;6916
332;56;4001;10568
333;56;5001;612774
334;56;5001;1648754175
335;56;1001;10377
336;57;2001;10377
337;57;3001;6916
338;57;4001;10568
339;57;5001;612774
340;57;5001;1217454977
341;57;1001;10377
342;58;2001;10377
343;58;3001;6916
344;58;4001;10568
345;58;5001;612774
346;58;5001;778674589
347;58;1001;10377
348;59;2001;10377
349;59;3001;6916
350;59;4001;10568
351;59;5001;612774
352;59;5001;332579407
353;59;1001;10377
354;60;2001;10377
355;60;3001;6916
356;60;4001;10568
357;60;5001;612774
358;60;5001;105954726
359;60;1001;10377
360;61;2001;10377
361;61;3001;6916
362;61;4001;10568
363;61;5001;612774
364;61;5001;105954726
365;61;1001;10377
366;62;2001;10377
367;62;3001;6916
368;62;4001;10568
369;62;5001;612774
370;62;5001;105954726
371;62;1001;10377
372;63;2001;10377
373;63;3001;6916
374;63;4001;10568
375;63;5001;612774
376;63;5001;105954726
377;63;1001;10377
378;64;2001;10377
379;64;3001;6916
380;64;4001;10568
381;64;5001;612774
382;64;5001;105954726
383;64;1001;10377
384;65;2001;10377
385;65;3001;6916
386;65;4001;10568
387;65;5001;612774
388;65;5001;105954726
389;65;1001;10377
390;66;2001;10377
391;66;3001;6916
392;66;4001;10568
393;66;5001;612774
394;66;5001;105954726
395;66;1001;10377
396;67;2001;10377
397;67;3001;6916
398;67;4001;10568
399;67;5001;612774
400;67;5001;105954726
401;67;1001;10377
402;68;2001;10377
403;68;3001;6916
404;68;4001;10568
405;68;5001;612774
406;68;5001;105954726
407;68;1001;10377
408;69;2001;10377
409;69;3001;6916
410;69;4001;10568
411;69;5001;612774
412;69;5001;105954726
413;69;1001;10377
414;70;2001;10377
415;70;3001;6916
416;70;4001;10568
417;70;5001;612774
418;70;5001;105954726
419;70;1001;10377
420;71;2001;10377
421;71;3001;6916
422;71;4001;10568
423;71;5001;612774
424;71;5001;105954726
425;71;1001;10377
426;72;2001;10377
427;72;3001;6916
428;72;4001;10568
429;72;5001;612774
430;72;5001;105954726
431;72;1001;10377
432;73;2001;10377
433;73;3001;6916
434;73;4001;10568
435;73;5001;612774
436;73;5001;105954726
437;73;1001;10377
