,1-1001,1-1002,2-2001,3-3001,4-4001,5-5001,1-2001
1,300000,300000,300000,300000,300000,9999999999,
2,288237,300000,300000,300000,300000,9999999999,
3,276454,300000,300000,300000,300000,9999999999,
4,264683,300000,300000,300000,300000,9999999999,
5,252850,300000,300000,300000,300000,9999999999,
6,241037,300000,300000,300000,300000,9999999999,
7,229184,300000,300000,300000,300000,9999999999,
8,217278,300000,300000,300000,300000,9999999999,
9,205345,300000,300000,300000,300000,9999999999,
10,193495,300000,300000,300000,300000,9999999999,
11,181726,300000,300000,300000,300000,9999999999,
12,169879,300000,300000,300000,300000,9999999999,
13,158065,300000,300000,300000,300000,9999999999,
14,146276,300000,300000,300000,300000,9999999999,
15,134470,300000,300000,300000,300000,9999999999,
16,122555,300000,300000,300000,300000,9999999999,
17,110615,300000,300000,300000,300000,9999999999,
18,98628,300000,300000,300000,300000,9999999999,
19,86767,300000,300000,300000,300000,9999999999,
20,74954,300000,300000,300000,300000,9999999999,
21,63112,300000,300000,300000,300000,9999999999,
22,51288,300000,300000,300000,300000,9999999999,
23,39503,300000,300000,300000,300000,9999999999,
24,27730,300000,300000,300000,300000,9999999999,
25,15881,300000,213219,300000,300000,9999999999,
26,4027,300000,126438,300000,300000,9999999999,
27,4027,300000,39642,300000,300000,9999999999,
28,4027,300000,39642,300000,300000,9999999999,
29,4027,300000,39642,300000,300000,9999999999,
30,90808,300000,39642,300000,300000,9999999999,0.0
31,165713,300000,39642,300000,300000,9999999999,0.0
32,240617,300000,39642,300000,300000,9999999999,0.0
33,228748,300000,39642,300000,300000,9999999999,0.0
34,216951,300000,39642,300000,300000,9999999999,0.0
35,205118,300000,39642,300000,300000,9999999999,0.0
36,193331,300000,39642,300000,300000,9999999999,0.0
37,181591,300000,39642,300000,300000,9999999999,0.0
38,169899,300000,39642,300000,300000,9999999999,0.0
39,158254,300000,39642,300000,300000,9999999999,0.0
40,146620,300000,39642,300000,300000,9999999999,0.0
41,134950,300000,39642,300000,300000,9999999999,0.0
42,123248,300000,39642,300000,300000,9999999999,0.0
43,111540,300000,39642,300000,300000,9999999999,0.0
