_id,deliver_day,order_id,order_criation_day,sending_day,receiver,sender,product,quantity,transit_time,lead_time,theoretical_lead,transaction_id
1,7,1000001,1,1,0,1,1001,10833,,,6,1
2,11,2000001,2,2,1,2,2001,10833,,,9,2
3,9,3000001,2,2,2,3,3001,10833,,,7,3
4,9,4000001,2,2,3,4,4001,10833,,,7,4
5,15,5000001,2,2,4,5,5001,10833,,,13,5
6,11,5000001,2,2,4,5,5001,10833,,,9,6
7,11,5000002,2,2,4,5,5001,10833,,,9,7
8,9,5000002,2,2,4,5,5001,10833,,,7,8
9,15,5000003,3,3,4,5,5001,10833,,,12,9
10,9,5000003,3,3,4,5,5001,10833,,,6,10
11,16,5000004,3,3,4,5,5001,43332,,,13,11
12,15,5000004,3,3,4,5,5001,43332,,,12,12
13,14,5000005,4,4,4,5,5001,10833,,,10,13
14,17,5000005,4,4,4,5,5001,10833,,,13,14
15,15,5000006,4,4,4,5,5001,43332,,,11,15
16,19,5000006,4,4,4,5,5001,43332,,,15,16
17,16,5000007,5,5,4,5,5001,10833,,,11,17
18,15,5000007,5,5,4,5,5001,10833,,,10,18
19,13,5000008,5,5,4,5,5001,43332,,,8,19
20,14,5000008,5,5,4,5,5001,43332,,,9,20
21,19,5000009,6,6,4,5,5001,10833,,,13,21
22,16,5000009,6,6,4,5,5001,10833,,,10,22
23,18,5000010,6,6,4,5,5001,43332,,,12,23
24,14,5000010,6,6,4,5,5001,43332,,,8,24
25,16,5000011,7,7,4,5,5001,10833,,,9,25
26,14,5000011,7,7,4,5,5001,10833,,,7,26
27,20,5000012,7,7,4,5,5001,43332,,,13,27
28,16,5000012,7,7,4,5,5001,43332,,,9,28
29,18,5000013,8,8,4,5,5001,10833,,,10,29
30,18,5000013,8,8,4,5,5001,10833,,,10,30
31,17,5000014,8,8,4,5,5001,43332,,,9,31
32,17,5000014,8,8,4,5,5001,43332,,,9,32
33,24,5000015,9,9,4,5,5001,10833,,,15,33
34,15,5000015,9,9,4,5,5001,10833,,,6,34
35,16,5000016,9,9,4,5,5001,43332,,,7,35
36,12,5000016,9,9,4,5,5001,43332,,,3,36
37,20,5000017,10,10,4,5,5001,12301,,,10,37
38,18,5000017,10,10,4,5,5001,12301,,,8,38
39,15,5000018,10,10,4,5,5001,49204,,,5,39
40,18,5000018,10,10,4,5,5001,49204,,,8,40
41,22,5000019,11,11,4,5,5001,12301,,,11,41
42,19,5000019,11,11,4,5,5001,12301,,,8,42
43,17,5000020,11,11,4,5,5001,49204,,,6,43
44,22,5000020,11,11,4,5,5001,49204,,,11,44
45,30,5000021,12,12,4,5,5001,12301,,,18,45
46,22,5000021,12,12,4,5,5001,12301,,,10,46
47,24,5000022,12,12,4,5,5001,49204,,,12,47
48,27,5000022,12,12,4,5,5001,49204,,,15,48
49,25,5000023,13,13,4,5,5001,12301,,,12,49
50,20,5000023,13,13,4,5,5001,12301,,,7,50
51,20,5000024,13,13,4,5,5001,49204,,,7,51
