Criation_Time, Product, Quantity, Client, Order_id, Status, Notes-fornecedor
1,1001,11763,0,1000001,0,1
1,2001,11763,1,2000001,0,2
1,3001,11763,2,3000001,0,3
1,4001,11763,3,4000001,0,4
1,5001,11763,4,5000001,0,5
2,1001,11783,0,1000002,0,1
2,2001,11796,1,2000002,0,2
2,3001,11819,2,3000002,0,3
2,4001,11856,3,4000002,0,4
2,5001,11919,4,5000002,0,5
3,1001,11771,0,1000003,0,1
3,2001,11793,1,2000003,0,2
3,2001,3529,1,2000004,0,2
3,3001,18050,2,3000003,0,3
3,3001,7092,2,3000004,0,3
3,4001,21254,3,4000003,0,4
3,4001,12197,3,4000004,0,4
3,5001,23674,4,5000003,0,5
3,5001,13110,4,5000004,0,5
4,1001,11833,0,1000004,0,1
4,2001,11853,1,2000005,0,2
4,2001,15362,1,2000006,0,2
4,3001,19385,2,3000005,0,3
4,3001,12748,2,3000006,0,3
4,4001,23123,3,4000005,0,4
4,5001,27826,4,5000005,0,5
5,1001,11813,0,1000005,0,1
5,2001,11855,1,2000007,0,2
5,3001,18915,2,3000007,0,3
5,3001,12748,2,3000008,0,3
5,4001,23464,3,4000006,0,4
5,4001,10328,3,4000007,0,4
5,5001,29206,4,5000006,0,5
5,5001,10362,4,5000007,0,5
6,1001,11853,0,1000006,0,1
6,2001,11879,1,2000008,0,2
6,2001,15442,1,2000009,0,2
6,3001,19239,2,3000009,0,3
6,4001,24276,3,4000008,0,4
6,5001,30848,4,5000008,0,5
7,1001,11906,0,1000007,0,1
7,2001,11929,1,2000010,0,2
7,2001,15442,1,2000011,0,2
7,3001,19323,2,3000010,0,3
7,3001,9903,2,3000011,0,3
7,4001,24528,3,4000009,0,4
