date,value,,
03/01/2000,101,101,101
04/01/2000,103,103,103
05/01/2000,104,104,104
06/01/2000,104,104,104
07/01/2000,103,103,103
10/01/2000,102,102,102
11/01/2000,103,103,103
12/01/2000,103,103,103
13/01/2000,103,103,103
14/01/2000,102,102,102
17/01/2000,101,101,101
18/01/2000,101,101,101
19/01/2000,101,101,101
20/01/2000,101,101,101
21/01/2000,101,101,101
24/01/2000,100,100,100
25/01/2000,100,100,100
26/01/2000,100,100,100
27/01/2000,100,100,100
28/01/2000,98,98,98
31/01/2000,98,98,98
01/02/2000,97,97,97
02/02/2000,97,97,97
03/02/2000,97,97,97
04/02/2000,98,98,98
07/02/2000,98,98,98
08/02/2000,99,99,99
09/02/2000,99,99,99
10/02/2000,99,99,99
11/02/2000,98,98,98
14/02/2000,99,99,99
15/02/2000,98,98,98
16/02/2000,98,98,98
17/02/2000,99,99,99
18/02/2000,99,99,99
21/02/2000,99,99,99
22/02/2000,100,100,100
23/02/2000,101,101,101
24/02/2000,99,99,99
25/02/2000,98,98,98
28/02/2000,96,96,96
29/02/2000,97,97,97
01/03/2000,97,97,97
02/03/2000,97,97,97
03/03/2000,97,97,97
06/03/2000,96,96,96
07/03/2000,96,96,96
08/03/2000,95,95,95
09/03/2000,96,96,96
10/03/2000,96,96,96
13/03/2000,97,97,97
14/03/2000,96,96,96
15/03/2000,96,96,96
16/03/2000,97,97,97
17/03/2000,97,97,97
20/03/2000,97,97,97
21/03/2000,97,97,97
22/03/2000,96,96,96
23/03/2000,97,97,97
24/03/2000,97,97,97
27/03/2000,97,97,97
28/03/2000,96,96,96
29/03/2000,96,96,96
30/03/2000,96,96,96
31/03/2000,96,96,96
03/04/2000,96,96,96
04/04/2000,95,95,95
05/04/2000,97,97,97
06/04/2000,96,96,96
07/04/2000,96,96,96
10/04/2000,96,96,96
11/04/2000,96,96,96
12/04/2000,96,96,96
13/04/2000,95,95,95
14/04/2000,95,95,95
17/04/2000,96,96,96
18/04/2000,95,95,95
19/04/2000,95,95,95
20/04/2000,94,94,94
21/04/2000,0,94,94
24/04/2000,0,0,94
25/04/2000,93,93,93
26/04/2000,92,92,92
27/04/2000,92,92,92
28/04/2000,91,91,91
01/05/2000,0,91,91
