date;value
03-01-2000;1.009
04-01-2000;1.0305
05-01-2000;1.0368
06-01-2000;1.0388
07-01-2000;1.0284
10-01-2000;1.0229
11-01-2000;1.0256
12-01-2000;1.0308
13-01-2000;1.0276
14-01-2000;1.0225
17-01-2000;1.0094
18-01-2000;1.0093
19-01-2000;1.0105
20-01-2000;1.0089
21-01-2000;1.0097
24-01-2000;1.0027
25-01-2000;1.0008
26-01-2000;1.0019
27-01-2000;0.9976
28-01-2000;0.9848
31-01-2000;0.9791
01-02-2000;0.971
02-02-2000;0.9717
03-02-2000;0.9748
04-02-2000;0.9835
07-02-2000;0.9767
08-02-2000;0.9903
09-02-2000;0.9934
10-02-2000;0.9868
11-02-2000;0.9801
14-02-2000;0.9867
15-02-2000;0.9778
16-02-2000;0.9804
17-02-2000;0.9919
18-02-2000;0.9857
21-02-2000;0.9857
22-02-2000;1.0022
23-02-2000;1.0068
24-02-2000;0.9898
25-02-2000;0.9813
28-02-2000;0.9639
29-02-2000;0.9714
01-03-2000;0.9667
02-03-2000;0.9725
03-03-2000;0.9659
06-03-2000;0.964
07-03-2000;0.9593
08-03-2000;0.9543
09-03-2000;0.9616
10-03-2000;0.9613
13-03-2000;0.9716
14-03-2000;0.962
15-03-2000;0.9647
16-03-2000;0.9663
17-03-2000;0.9672
20-03-2000;0.9715
21-03-2000;0.9701
22-03-2000;0.9603
23-03-2000;0.9656
24-03-2000;0.9715
27-03-2000;0.9712
28-03-2000;0.9647
29-03-2000;0.9568
30-03-2000;0.9555
31-03-2000;0.9553
03-04-2000;0.9564
04-04-2000;0.9538
05-04-2000;0.9673
06-04-2000;0.9625
07-04-2000;0.9564
10-04-2000;0.959
11-04-2000;0.9594
12-04-2000;0.9576
13-04-2000;0.9537
14-04-2000;0.954
17-04-2000;0.9573
18-04-2000;0.9497
19-04-2000;0.9461
20-04-2000;0.9376
21-04-2000;0
24-04-2000;0
25-04-2000;0.9302
26-04-2000;0.9193
27-04-2000;0.9163
28-04-2000;0.9085
01-05-2000;0
02-05-2000;0.9116
03-05-2000;0.8913
04-05-2000;0.8947
05-05-2000;0.8984
08-05-2000;0.8952
09-05-2000;0.8978
10-05-2000;0.9107
11-05-2000;0.9079
12-05-2000;0.9029
15-05-2000;0.9147
16-05-2000;0.9065
17-05-2000;0.8922
18-05-2000;0.8942
19-05-2000;0.8875
22-05-2000;0.9
23-05-2000;0.9111
24-05-2000;0.9098
25-05-2000;0.8981
26-05-2000;0.9143
29-05-2000;0.9262
30-05-2000;0.9359
31-05-2000;0.9303
01-06-2000;0.933
02-06-2000;0.9355
05-06-2000;0.9433
06-06-2000;0.9485
07-06-2000;0.9554
08-06-2000;0.9668
09-06-2000;0.949
12-06-2000;0.9527
13-06-2000;0.9583
14-06-2000;0.9636
15-06-2000;0.9524
16-06-2000;0.9565
19-06-2000;0.964
20-06-2000;0.9538
21-06-2000;0.947
22-06-2000;0.9405
23-06-2000;0.9413
26-06-2000;0.9327
27-06-2000;0.9401
28-06-2000;0.9415
29-06-2000;0.9504
30-06-2000;0.9556
03-07-2000;0.9493
04-07-2000;0.9487
05-07-2000;0.9537
06-07-2000;0.9542
07-07-2000;0.9483
10-07-2000;0.9523
11-07-2000;0.9527
12-07-2000;0.9499
13-07-2000;0.9349
14-07-2000;0.9344
17-07-2000;0.9352
18-07-2000;0.9353
19-07-2000;0.9216
20-07-2000;0.922
21-07-2000;0.9363
24-07-2000;0.9332
25-07-2000;0.941
26-07-2000;0.939
27-07-2000;0.9389
28-07-2000;0.9276
31-07-2000;0.9243
01-08-2000;0.9264
02-08-2000;0.9142
03-08-2000;0.9028
04-08-2000;0.9031
07-08-2000;0.9084
08-08-2000;0.9047
09-08-2000;0.8973
10-08-2000;0.9031
11-08-2000;0.9132
14-08-2000;0.9011
15-08-2000;0.9118
16-08-2000;0.9072
17-08-2000;0.914
18-08-2000;0.9127
21-08-2000;0.9023
22-08-2000;0.8972
23-08-2000;0.8918
24-08-2000;0.9012
25-08-2000;0.9021
28-08-2000;0.9007
29-08-2000;0.8965
30-08-2000;0.8909
31-08-2000;0.8906
01-09-2000;0.8902
04-09-2000;0.9
05-09-2000;0.8886
06-09-2000;0.8818
07-09-2000;0.8676
08-09-2000;0.8735
11-09-2000;0.8609
12-09-2000;0.8614
13-09-2000;0.8654
14-09-2000;0.8693
15-09-2000;0.8615
18-09-2000;0.8526
19-09-2000;0.8541
20-09-2000;0.8476
21-09-2000;0.8524
22-09-2000;0.889
25-09-2000;0.877
26-09-2000;0.8757
27-09-2000;0.8861
28-09-2000;0.8832
29-09-2000;0.8765
02-10-2000;0.8802
03-10-2000;0.8763
04-10-2000;0.873
05-10-2000;0.8786
06-10-2000;0.8703
09-10-2000;0.8695
10-10-2000;0.8721
11-10-2000;0.872
12-10-2000;0.8648
13-10-2000;0.8627
16-10-2000;0.8511
17-10-2000;0.8496
18-10-2000;0.8525
19-10-2000;0.8411
20-10-2000;0.8452
23-10-2000;0.8377
24-10-2000;0.8386
25-10-2000;0.8307
26-10-2000;0.8252
27-10-2000;0.8324
30-10-2000;0.8482
31-10-2000;0.8417
01-11-2000;0.8554
02-11-2000;0.8646
03-11-2000;0.873
06-11-2000;0.8667
07-11-2000;0.8587
08-11-2000;0.8559
09-11-2000;0.8531
10-11-2000;0.8673
13-11-2000;0.862
14-11-2000;0.8583
15-11-2000;0.8596
16-11-2000;0.8569
17-11-2000;0.8535
20-11-2000;0.8488
21-11-2000;0.8474
22-11-2000;0.8429
23-11-2000;0.8427
24-11-2000;0.8436
27-11-2000;0.8406
28-11-2000;0.8561
29-11-2000;0.865
30-11-2000;0.8684
01-12-2000;0.8735
04-12-2000;0.8908
05-12-2000;0.881
06-12-2000;0.8828
07-12-2000;0.8943
08-12-2000;0.8895
11-12-2000;0.8804
12-12-2000;0.8782
13-12-2000;0.8748
14-12-2000;0.8839
15-12-2000;0.8984
18-12-2000;0.8966
19-12-2000;0.8903
20-12-2000;0.9059
21-12-2000;0.9146
22-12-2000;0.924
25-12-2000;0
26-12-2000;0
27-12-2000;0.931
28-12-2000;0.9285
29-12-2000;0.9305
01-01-2001;0
02-01-2001;0.9423
03-01-2001;0.953
04-01-2001;0.9458
05-01-2001;0.9545
08-01-2001;0.9497
09-01-2001;0.9401
10-01-2001;0.9412
11-01-2001;0.9523
12-01-2001;0.9545
15-01-2001;0.9428
16-01-2001;0.9412
17-01-2001;0.9396
18-01-2001;0.9404
19-01-2001;0.94
22-01-2001;0.929
23-01-2001;0.9407
24-01-2001;0.9294
25-01-2001;0.9146
26-01-2001;0.9228
29-01-2001;0.9193
30-01-2001;0.9197
31-01-2001;0.9293
01-02-2001;0.9406
02-02-2001;0.9407
05-02-2001;0.9425
06-02-2001;0.9322
07-02-2001;0.9325
08-02-2001;0.922
09-02-2001;0.9227
12-02-2001;0.9288
13-02-2001;0.9275
14-02-2001;0.9178
15-02-2001;0.909
16-02-2001;0.9113
19-02-2001;0.9213
20-02-2001;0.907
21-02-2001;0.9146
22-02-2001;0.9056
23-02-2001;0.9064
26-02-2001;0.9105
27-02-2001;0.9163
28-02-2001;0.9248
01-03-2001;0.9269
02-03-2001;0.9363
05-03-2001;0.9305
06-03-2001;0.9279
07-03-2001;0.9307
08-03-2001;0.9312
09-03-2001;0.9357
12-03-2001;0.9272
13-03-2001;0.9202
14-03-2001;0.9182
15-03-2001;0.9064
16-03-2001;0.8947
19-03-2001;0.8996
20-03-2001;0.902
21-03-2001;0.899
22-03-2001;0.8889
23-03-2001;0.8922
26-03-2001;0.8935
27-03-2001;0.8952
28-03-2001;0.886
29-03-2001;0.884
30-03-2001;0.8832
02-04-2001;0.8772
03-04-2001;0.8845
04-04-2001;0.9032
05-04-2001;0.902
06-04-2001;0.894
09-04-2001;0.9018
10-04-2001;0.8945
11-04-2001;0.884
12-04-2001;0.8849
13-04-2001;0
16-04-2001;0
17-04-2001;0.8791
18-04-2001;0.8778
19-04-2001;0.8827
20-04-2001;0.8989
23-04-2001;0.9002
24-04-2001;0.8973
25-04-2001;0.8947
26-04-2001;0.9013
27-04-2001;0.9023
30-04-2001;0.8876
01-05-2001;0
02-05-2001;0.8907
03-05-2001;0.8903
04-05-2001;0.8939
07-05-2001;0.8919
08-05-2001;0.8866
09-05-2001;0.8827
10-05-2001;0.885
11-05-2001;0.8773
14-05-2001;0.8745
15-05-2001;0.8768
16-05-2001;0.8834
17-05-2001;0.8815
18-05-2001;0.8777
21-05-2001;0.8754
22-05-2001;0.8685
23-05-2001;0.8585
24-05-2001;0.8604
25-05-2001;0.8591
28-05-2001;0.8584
29-05-2001;0.8552
30-05-2001;0.8558
31-05-2001;0.848
01-06-2001;0.8478
04-06-2001;0.8513
05-06-2001;0.8465
06-06-2001;0.8543
07-06-2001;0.8466
08-06-2001;0.8468
11-06-2001;0.8494
12-06-2001;0.8474
13-06-2001;0.8542
14-06-2001;0.8492
15-06-2001;0.8662
18-06-2001;0.8581
19-06-2001;0.8563
20-06-2001;0.8513
21-06-2001;0.8552
22-06-2001;0.8528
25-06-2001;0.8607
26-06-2001;0.8611
27-06-2001;0.8622
28-06-2001;0.8511
29-06-2001;0.848
02-07-2001;0.8455
03-07-2001;0.8497
04-07-2001;0.8453
05-07-2001;0.8422
06-07-2001;0.8384
09-07-2001;0.8459
10-07-2001;0.8545
11-07-2001;0.8611
12-07-2001;0.8538
13-07-2001;0.8539
16-07-2001;0.8583
17-07-2001;0.8516
18-07-2001;0.863
19-07-2001;0.8723
20-07-2001;0.8776
23-07-2001;0.8676
24-07-2001;0.8708
25-07-2001;0.8793
26-07-2001;0.8764
27-07-2001;0.8768
30-07-2001;0.8751
31-07-2001;0.8755
01-08-2001;0.8817
02-08-2001;0.8788
03-08-2001;0.8806
06-08-2001;0.8805
07-08-2001;0.8768
08-08-2001;0.8763
09-08-2001;0.8853
10-08-2001;0.8936
13-08-2001;0.8991
14-08-2001;0.8968
15-08-2001;0.9114
16-08-2001;0.9144
17-08-2001;0.9138
20-08-2001;0.9149
21-08-2001;0.9128
22-08-2001;0.9216
23-08-2001;0.9112
24-08-2001;0.9108
27-08-2001;0.909
28-08-2001;0.9042
29-08-2001;0.9122
30-08-2001;0.9095
31-08-2001;0.9158
03-09-2001;0.9072
04-09-2001;0.897
05-09-2001;0.8891
06-09-2001;0.8855
07-09-2001;0.8952
10-09-2001;0.9047
11-09-2001;0.8964
12-09-2001;0.9052
13-09-2001;0.906
14-09-2001;0.9219
17-09-2001;0.9269
18-09-2001;0.9256
19-09-2001;0.9258
20-09-2001;0.9259
21-09-2001;0.92
24-09-2001;0.9164
25-09-2001;0.9176
26-09-2001;0.9219
27-09-2001;0.9205
28-09-2001;0.9131
01-10-2001;0.9125
02-10-2001;0.9189
03-10-2001;0.9209
04-10-2001;0.9117
05-10-2001;0.9174
08-10-2001;0.9214
09-10-2001;0.9193
10-10-2001;0.9136
11-10-2001;0.9062
12-10-2001;0.904
15-10-2001;0.9097
16-10-2001;0.9052
17-10-2001;0.9022
18-10-2001;0.9026
19-10-2001;0.9009
22-10-2001;0.8969
23-10-2001;0.8887
24-10-2001;0.8917
25-10-2001;0.8889
26-10-2001;0.8911
29-10-2001;0.9005
30-10-2001;0.9064
31-10-2001;0.9042
01-11-2001;0.9097
02-11-2001;0.9056
05-11-2001;0.8961
06-11-2001;0.8961
07-11-2001;0.9014
08-11-2001;0.8972
09-11-2001;0.893
12-11-2001;0.8919
13-11-2001;0.8842
14-11-2001;0.8803
15-11-2001;0.8825
16-11-2001;0.8845
19-11-2001;0.8793
20-11-2001;0.8824
21-11-2001;0.8791
22-11-2001;0.8778
23-11-2001;0.8795
26-11-2001;0.8818
27-11-2001;0.8788
28-11-2001;0.8831
29-11-2001;0.8887
30-11-2001;0.8898
03-12-2001;0.8925
04-12-2001;0.8902
05-12-2001;0.8919
06-12-2001;0.8889
07-12-2001;0.8911
10-12-2001;0.885
11-12-2001;0.8908
12-12-2001;0.8938
13-12-2001;0.8975
14-12-2001;0.9016
17-12-2001;0.9049
18-12-2001;0.9012
19-12-2001;0.8983
20-12-2001;0.8973
21-12-2001;0.8943
24-12-2001;0.8798
25-12-2001;0
26-12-2001;0
27-12-2001;0.8823
28-12-2001;0.8813
31-12-2001;0
01-01-2002;0
02-01-2002;0.9038
03-01-2002;0.9036
04-01-2002;0.8954
07-01-2002;0.8905
08-01-2002;0.8909
09-01-2002;0.8921
10-01-2002;0.8909
11-01-2002;0.8919
14-01-2002;0.8927
15-01-2002;0.8922
16-01-2002;0.8817
17-01-2002;0.8819
18-01-2002;0.881
21-01-2002;0.884
22-01-2002;0.883
23-01-2002;0.8856
24-01-2002;0.8767
25-01-2002;0.8663
28-01-2002;0.8578
29-01-2002;0.8624
30-01-2002;0.8642
31-01-2002;0.8637
01-02-2002;0.8632
04-02-2002;0.8644
05-02-2002;0.8683
06-02-2002;0.8664
07-02-2002;0.8664
08-02-2002;0.874
11-02-2002;0.8794
12-02-2002;0.8753
13-02-2002;0.8731
14-02-2002;0.8693
15-02-2002;0.8705
18-02-2002;0.8715
19-02-2002;0.8692
20-02-2002;0.8743
21-02-2002;0.8701
22-02-2002;0.8747
25-02-2002;0.8724
26-02-2002;0.8682
27-02-2002;0.8649
28-02-2002;0.8651
01-03-2002;0.8679
04-03-2002;0.8649
05-03-2002;0.8682
06-03-2002;0.8712
07-03-2002;0.8764
08-03-2002;0.8797
11-03-2002;0.8741
12-03-2002;0.8733
13-03-2002;0.8734
14-03-2002;0.8803
15-03-2002;0.8853
18-03-2002;0.8792
19-03-2002;0.8829
20-03-2002;0.8814
21-03-2002;0.8817
22-03-2002;0.8795
25-03-2002;0.8759
26-03-2002;0.8737
27-03-2002;0.8746
28-03-2002;0.8724
29-03-2002;0
01-04-2002;0
02-04-2002;0.8786
03-04-2002;0.8803
04-04-2002;0.8818
05-04-2002;0.8786
08-04-2002;0.8778
09-04-2002;0.8763
10-04-2002;0.8798
11-04-2002;0.8794
12-04-2002;0.8803
15-04-2002;0.8802
16-04-2002;0.8803
17-04-2002;0.888
18-04-2002;0.8895
19-04-2002;0.8886
22-04-2002;0.8882
23-04-2002;0.8872
24-04-2002;0.8892
25-04-2002;0.8969
26-04-2002;0.8971
29-04-2002;0.9038
30-04-2002;0.9008
01-05-2002;0
02-05-2002;0.9032
03-05-2002;0.9083
06-05-2002;0.9144
07-05-2002;0.9125
08-05-2002;0.9088
09-05-2002;0.9061
10-05-2002;0.9118
13-05-2002;0.9118
14-05-2002;0.9062
15-05-2002;0.903
16-05-2002;0.9124
17-05-2002;0.9152
20-05-2002;0.9202
21-05-2002;0.9213
22-05-2002;0.926
23-05-2002;0.9213
24-05-2002;0.9188
27-05-2002;0.919
28-05-2002;0.9255
29-05-2002;0.932
30-05-2002;0.9375
31-05-2002;0.9387
03-06-2002;0.9313
04-06-2002;0.9435
05-06-2002;0.9371
06-06-2002;0.9386
07-06-2002;0.9452
10-06-2002;0.9459
11-06-2002;0.9417
12-06-2002;0.9452
13-06-2002;0.9417
14-06-2002;0.9478
17-06-2002;0.9426
18-06-2002;0.9484
19-06-2002;0.9561
20-06-2002;0.9592
21-06-2002;0.9636
24-06-2002;0.9781
25-06-2002;0.9712
26-06-2002;0.9917
27-06-2002;0.9824
28-06-2002;0.9975
01-07-2002;0.9913
02-07-2002;0.9838
03-07-2002;0.978
04-07-2002;0.979
05-07-2002;0.9725
08-07-2002;0.9828
09-07-2002;0.993
10-07-2002;0.9898
11-07-2002;0.9836
12-07-2002;0.9873
15-07-2002;1.0024
16-07-2002;1.0127
17-07-2002;1.0064
18-07-2002;1.0058
19-07-2002;1.0146
22-07-2002;1.0086
23-07-2002;0.991
24-07-2002;0.9915
25-07-2002;1.0014
26-07-2002;1.0008
29-07-2002;0.9821
30-07-2002;0.9835
31-07-2002;0.9783
01-08-2002;0.976
02-08-2002;0.9873
05-08-2002;0.9836
06-08-2002;0.9689
07-08-2002;0.9698
08-08-2002;0.9687
09-08-2002;0.9729
12-08-2002;0.978
13-08-2002;0.9799
14-08-2002;0.9857
15-08-2002;0.9777
16-08-2002;0.9825
19-08-2002;0.9799
20-08-2002;0.9792
21-08-2002;0.9762
22-08-2002;0.977
23-08-2002;0.9697
26-08-2002;0.9701
27-08-2002;0.9774
28-08-2002;0.9826
29-08-2002;0.9843
30-08-2002;0.9833
02-09-2002;0.9821
03-09-2002;0.991
04-09-2002;0.9947
05-09-2002;0.9975
06-09-2002;0.9918
09-09-2002;0.9794
10-09-2002;0.976
11-09-2002;0.9749
12-09-2002;0.9757
13-09-2002;0.981
16-09-2002;0.9683
17-09-2002;0.9649
18-09-2002;0.9725
19-09-2002;0.9814
20-09-2002;0.979
23-09-2002;0.9831
24-09-2002;0.9828
25-09-2002;0.9771
26-09-2002;0.9796
27-09-2002;0.9779
30-09-2002;0.986
01-10-2002;0.9861
02-10-2002;0.9835
03-10-2002;0.989
04-10-2002;0.9865
07-10-2002;0.9808
08-10-2002;0.98
09-10-2002;0.9814
10-10-2002;0.9875
11-10-2002;0.9857
14-10-2002;0.9873
15-10-2002;0.981
16-10-2002;0.9823
17-10-2002;0.9763
18-10-2002;0.9735
21-10-2002;0.9748
22-10-2002;0.9768
23-10-2002;0.9775
24-10-2002;0.9738
25-10-2002;0.9763
28-10-2002;0.9745
29-10-2002;0.982
30-10-2002;0.9825
31-10-2002;0.9864
01-11-2002;0.9974
04-11-2002;0.9944
05-11-2002;1.0024
06-11-2002;0.9955
07-11-2002;1.0013
08-11-2002;1.0107
11-11-2002;1.0126
12-11-2002;1.0081
13-11-2002;1.0068
14-11-2002;1.0095
15-11-2002;1.0029
18-11-2002;1.0065
19-11-2002;1.0125
20-11-2002;1.0019
21-11-2002;1.0034
22-11-2002;1.0024
25-11-2002;0.9905
26-11-2002;0.991
27-11-2002;0.9927
28-11-2002;0.9934
29-11-2002;0.9927
02-12-2002;0.9871
03-12-2002;0.9967
04-12-2002;1.0018
05-12-2002;0.9991
06-12-2002;1.0006
09-12-2002;1.0093
10-12-2002;1.0111
11-12-2002;1.0067
12-12-2002;1.0156
13-12-2002;1.0221
16-12-2002;1.0212
17-12-2002;1.0307
18-12-2002;1.024
19-12-2002;1.0273
20-12-2002;1.0255
23-12-2002;1.0282
24-12-2002;1.0296
25-12-2002;0
26-12-2002;0
27-12-2002;1.0376
30-12-2002;1.0422
31-12-2002;1.0487
01-01-2003;0
02-01-2003;1.0446
03-01-2003;1.0392
06-01-2003;1.0488
07-01-2003;1.0425
08-01-2003;1.0377
09-01-2003;1.0507
10-01-2003;1.0503
13-01-2003;1.0549
14-01-2003;1.0577
15-01-2003;1.0526
16-01-2003;1.0564
17-01-2003;1.0652
20-01-2003;1.0653
21-01-2003;1.0653
22-01-2003;1.0718
23-01-2003;1.0757
24-01-2003;1.0784
27-01-2003;1.087
28-01-2003;1.0808
29-01-2003;1.0868
30-01-2003;1.0748
31-01-2003;1.0816
03-02-2003;1.0729
04-02-2003;1.0822
05-02-2003;1.091
06-02-2003;1.0813
07-02-2003;1.0789
10-02-2003;1.0808
11-02-2003;1.0706
12-02-2003;1.0731
13-02-2003;1.0758
14-02-2003;1.0793
17-02-2003;1.0716
18-02-2003;1.0714
19-02-2003;1.0717
20-02-2003;1.0763
21-02-2003;1.0838
24-02-2003;1.0721
25-02-2003;1.0774
26-02-2003;1.0753
27-02-2003;1.0822
28-02-2003;1.0782
03-03-2003;1.08
04-03-2003;1.0919
05-03-2003;1.0966
06-03-2003;1.0963
07-03-2003;1.1039
10-03-2003;1.1042
11-03-2003;1.108
12-03-2003;1.1028
13-03-2003;1.0864
14-03-2003;1.0775
17-03-2003;1.0801
18-03-2003;1.0586
19-03-2003;1.057
20-03-2003;1.0592
21-03-2003;1.0572
24-03-2003;1.0634
25-03-2003;1.0691
26-03-2003;1.0667
27-03-2003;1.0723
28-03-2003;1.073
31-03-2003;1.0895
01-04-2003;1.0891
02-04-2003;1.083
03-04-2003;1.0702
04-04-2003;1.072
07-04-2003;1.0582
08-04-2003;1.066
09-04-2003;1.0742
10-04-2003;1.0805
11-04-2003;1.0735
14-04-2003;1.0737
15-04-2003;1.0784
16-04-2003;1.0836
17-04-2003;1.092
18-04-2003;0
21-04-2003;0
22-04-2003;1.0971
23-04-2003;1.0944
24-04-2003;1.1008
25-04-2003;1.0973
28-04-2003;1.1025
29-04-2003;1.0956
30-04-2003;1.1131
01-05-2003;0
02-05-2003;1.1239
05-05-2003;1.1218
06-05-2003;1.1344
07-05-2003;1.1427
08-05-2003;1.1435
09-05-2003;1.1466
12-05-2003;1.1597
13-05-2003;1.1518
14-05-2003;1.1499
15-05-2003;1.1458
16-05-2003;1.1492
19-05-2003;1.1652
20-05-2003;1.1644
21-05-2003;1.1689
22-05-2003;1.172
23-05-2003;1.179
26-05-2003;1.1813
27-05-2003;1.1901
28-05-2003;1.1738
29-05-2003;1.1756
30-05-2003;1.1822
02-06-2003;1.1672
03-06-2003;1.1723
04-06-2003;1.1691
05-06-2003;1.1775
06-06-2003;1.1813
09-06-2003;1.1726
10-06-2003;1.1699
11-06-2003;1.1748
12-06-2003;1.1734
13-06-2003;1.1751
16-06-2003;1.1854
17-06-2003;1.1797
18-06-2003;1.1699
19-06-2003;1.1655
20-06-2003;1.1655
23-06-2003;1.1539
24-06-2003;1.1565
25-06-2003;1.1551
26-06-2003;1.1432
27-06-2003;1.1413
30-06-2003;1.1427
01-07-2003;1.1543
02-07-2003;1.1535
03-07-2003;1.1457
04-07-2003;1.1466
07-07-2003;1.136
08-07-2003;1.1326
