_id,deliver_day,delivered,last_update,order_id,product,quantity,receiver,recording_time,sender,sending_day,transaction_id
1,2,1,1,1000001,1001,6,0,2,1,1,1
2,3,1,2,1000002,1001,8,0,3,1,2,2
3,4,1,3,1000003,1001,7,0,4,1,3,3
4,5,1,4,1000004,1001,10,0,5,1,4,4
5,6,1,5,1000005,1001,10,0,6,1,5,5
6,7,1,6,1000006,1001,6,0,7,1,6,6
7,8,1,7,1000007,1001,1,0,8,1,7,7
8,9,1,8,1000008,1001,6,0,9,1,8,8
9,10,1,9,1000009,1001,3,0,10,1,9,9
10,11,1,10,1000010,1001,8,0,11,1,10,10
11,12,1,11,1000011,1001,5,0,12,1,11,11
12,13,1,12,1000012,1001,5,0,13,1,12,12
13,14,1,13,1000013,1001,1,0,14,1,13,13
14,15,1,14,1000014,1001,8,0,15,1,14,14
15,16,1,15,1000015,1001,8,0,16,1,15,15
16,17,0,16,1000016,1001,6,0,,1,16,16
17,17,1,16,2000001,2001,1,1,17,2,16,17
18,18,1,17,2000002,2001,1,1,18,2,17,18
19,19,1,18,2000003,2001,1,1,19,2,18,19
20,20,1,19,2000004,2001,1,1,20,2,19,20
21,21,1,20,2000005,2001,1,1,21,2,20,21
22,22,1,21,2000006,2001,1,1,22,2,21,22
23,23,1,22,2000007,2001,1,1,23,2,22,23
24,24,1,23,2000008,2001,1,1,24,2,23,24
25,25,1,24,2000009,2001,1,1,25,2,24,25
26,26,1,25,2000010,2001,1,1,26,2,25,26
27,27,1,26,2000011,2001,1,1,27,2,26,27
28,28,1,27,2000012,2001,1,1,28,2,27,28
29,29,1,28,2000013,2001,1,1,29,2,28,29
30,30,0,29,1000029,1001,1,0,,1,29,30
31,30,1,29,2000014,2001,1,1,30,2,29,31
32,31,1,30,2000015,2001,1,1,31,2,30,32
33,32,1,31,2000016,2001,1,1,32,2,31,33
34,33,1,32,2000017,2001,1,1,33,2,32,34
35,34,1,33,2000018,2001,1,1,34,2,33,35
36,35,1,34,2000019,2001,1,1,35,2,34,36
37,36,1,35,2000020,2001,1,1,36,2,35,37
38,37,1,36,2000021,2001,1,1,37,2,36,38
39,38,1,37,2000022,2001,1,1,38,2,37,39
40,39,1,38,2000023,2001,1,1,39,2,38,40
