Tempo,Teste
20.197,A
21.290999999999997,A
20.31,A
20.465,A
21.756,A
19.584,A
19.591,A
18.17,A
20.795,A
18.869999999999997,A
20.182,A
20.723,A
18.624,A
19.762,A
19.766000000000002,A
20.858,A
19.098000000000003,A
21.608,A
19.400000000000002,A
20.079,A
21.461000000000002,A
20.826999999999998,A
21.466,A
19.132,A
19.498,A
19.906,A
19.971999999999998,A
19.678,A
18.052,A
19.317,A
22.299,A
21.127,A
19.885,A
20.630000000000003,A
20.156,A
19.071,A
19.078,A
19.9,A
19.688,A
19.618000000000002,A
18.948999999999998,A
20.086,A
21.227999999999998,A
20.493,A
20.546999999999997,A
20.548000000000002,A
21.856,A
18.287000000000003,A
21.475,A
20.478,A
22.022,A
21.288,A
20.550000000000004,A
20.381,A
19.895000000000003,A
20.518,A
18.756999999999998,A
22.192,A
19.775000000000002,A
19.717000000000002,A
19.789,A
19.151999999999997,A
20.218,A
18.987,A
21.869999999999997,A
21.082,A
19.654000000000003,A
22.494,A
19.931,A
20.207,A
20.281,A
18.615,A
18.685,A
19.865000000000002,A
18.177,A
19.820999999999998,A
21.022,A
19.560000000000002,A
19.240000000000002,A
21.232,A
19.84,A
21.157,A
20.375,A
19.537999999999997,A
21.007999999999996,A
20.615,A
20.301000000000002,A
19.261000000000003,A
18.414,A
19.158,A
18.427,A
18.105,A
21.661,A
21.238,A
21.416999999999998,A
18.773000000000003,A
21.389,A
20.173,A
22.694000000000003,A
20.119,A
20.044,A
19.750999999999998,A
20.981999999999996,A
20.116,A
18.517,A
18.983999999999998,A
21.01,A
21.932000000000002,A
19.429,A
18.668,A
21.171999999999997,A
19.369,A
19.709,A
19.205000000000002,A
21.264,A
20.564,A
21.320999999999998,A
19.828,A
18.986,A
21.024,A
20.103,A
21.053,A
20.581,A
20.131999999999998,A
18.754,A
20.364,A
21.131999999999998,A
20.156,A
21.037000000000003,A
20.301000000000002,A
20.234,A
20.208000000000002,A
19.662000000000003,A
19.679,A
19.314999999999998,A
19.625,A
17.203,A
19.198999999999998,A
19.259,A
19.631999999999998,A
18.628,A
22.358999999999998,A
19.865000000000002,A
18.326,A
18.820999999999998,A
18.843,A
18.714000000000002,A
20.643000000000004,A
17.064999999999998,A
21.236,A
20.372,A
17.956,A
19.875,A
20.506999999999998,A
19.425,A
20.799,A
21.118999999999996,A
19.138,A
20.163,A
20.01,A
19.421,A
20.955,A
20.305,A
20.349,A
19.721,A
18.756999999999998,A
19.192,A
17.837,A
20.289,A
20.456000000000003,A
21.034,A
20.014000000000003,A
19.857,A
19.335,A
19.749,A
19.592,A
19.313000000000002,A
19.799,A
20.816,A
20.065,A
19.961000000000002,A
20.929000000000002,A
20.41,A
19.976,A
20.470999999999997,A
20.654,A
20.52,A
19.486,A
19.645999999999997,A
19.961999999999996,A
21.799999999999997,A
19.098,A
20.297,A
18.880000000000003,A
17.633000000000003,A
21.493000000000002,A
19.942999999999998,A
19.196,A
20.172,A
19.091,A
21.448999999999998,A
20.641000000000002,A
19.735999999999997,A
16.953999999999997,A
20.081,A
20.069000000000003,A
19.525,A
19.714000000000002,A
20.085,A
21.398000000000003,A
20.845,A
20.268,A
19.566,A
20.235,A
17.801,A
17.437,A
19.325,A
19.464,A
19.58,A
18.232,A
20.328,A
20.215000000000003,A
21.877,A
20.015,A
20.015,A
18.759,A
20.469,A
20.109,A
19.119,A
20.217,A
21.94,A
19.691000000000003,A
20.574,A
20.188000000000002,A
22.086,A
19.817999999999998,A
20.787,A
19.883,A
19.604999999999997,A
18.819000000000003,A
18.973,A
19.436999999999998,A
18.794,A
19.964,A
19.637999999999998,A
20.462,A
20.284,A
19.379,A
18.86,A
20.406,A
21.977,A
21.852,A
19.904999999999998,A
18.316,A
