Teste,Elemento,Tempo
A,a,5.716
A,b,5.238
A,c,4.505
A,d,4.738
A,a,5.306
A,b,5.004
A,c,5.956
A,d,5.025
A,a,5.163
A,b,4.959
A,c,5.723
A,d,4.465
A,a,5.492
A,b,4.267
A,c,5.08
A,d,5.626
A,a,5.596
A,b,5.08
A,c,4.774
A,d,6.306
A,a,4.612
A,b,5.479
A,c,3.773
A,d,5.72
A,a,4.473
A,b,5.392
A,c,5.265
A,d,4.461
A,a,4.008
A,b,4.252
A,c,5.221
A,d,4.689
A,a,5.315
A,b,5.112
A,c,5.246
A,d,5.122
A,a,4.066
A,b,5.056
A,c,4.363
A,d,5.385
A,a,5.546
A,b,5.447
A,c,4.364
A,d,4.825
A,a,4.579
A,b,5.86
A,c,5.177
A,d,5.107
A,a,4.766
A,b,4.779
A,c,4.62
A,d,4.459
A,a,5.198
A,b,4.861
A,c,4.873
A,d,4.83
A,a,5.347
A,b,4.112
A,c,5.373
A,d,4.934
A,a,5.345
A,b,4.577
A,c,5.13
A,d,5.806
A,a,4.355
A,b,5.425
A,c,4.617
A,d,4.701
A,a,5.655
A,b,5.627
A,c,5.315
A,d,5.011
A,a,4.255
A,b,5.283
A,c,4.902
A,d,4.96
A,a,5.491
A,b,4.833
A,c,5.23
A,d,4.525
A,a,5.203
A,b,5.167
A,c,6.384
A,d,4.707
A,a,5.173
A,b,4.819
A,c,4.831
A,d,6.004
A,a,5.669
A,b,5.394
A,c,5.144
A,d,5.259
A,a,4.358
A,b,5.338
A,c,4.665
A,d,4.771
A,a,4.297
A,b,5.02
A,c,5.687
A,d,4.494
A,a,5.76
A,b,4.924
A,c,4.438
A,d,4.784
A,a,5.084
A,b,5.098
A,c,4.946
A,d,4.844
A,a,4.851
A,b,4.774
A,c,4.746
A,d,5.307
A,a,4.881
A,b,3.764
A,c,4.399
A,d,5.008
A,a,4.346
A,b,5.655
A,c,4.767
A,d,4.549
A,a,4.471
A,b,6.214
A,c,5.37
A,d,6.244
A,a,5.603
A,b,5.501
A,c,5.079
A,d,4.944
A,a,4.817
A,b,5.158
A,c,4.714
A,d,5.196
A,a,4.504
A,b,5.235
A,c,5.334
A,d,5.557
A,a,5.434
A,b,5.382
A,c,3.73
A,d,5.61
A,a,4.795
A,b,4.796
A,c,3.901
A,d,5.579
A,a,4.445
A,b,4.884
A,c,4.725
A,d,5.024
A,a,5.344
A,b,3.772
A,c,5.678
A,d,5.106
A,a,5.439
A,b,4.917
A,c,4.654
A,d,4.678
A,a,4.581
A,b,4.74
A,c,4.83
A,d,5.467
A,a,5.151
A,b,4.703
A,c,4.585
A,d,4.51
A,a,4.786
A,b,3.981
A,c,5.974
A,d,5.345
A,a,4.975
A,b,4.908
A,c,6.238
A,d,5.107
A,a,5.072
A,b,5.633
A,c,5.126
A,d,4.662
A,a,5.151
A,b,5.27
A,c,5.369
A,d,4.757
A,a,5.387
A,b,4.604
A,c,5.175
A,d,5.382
A,a,5.477
A,b,5.566
A,c,5.315
A,d,5.498
A,a,3.697
A,b,4.857
A,c,4.738
A,d,4.995
A,a,5.988
A,b,5.228
A,c,4.99
A,d,5.269
A,a,4.91
A,b,4.6
A,c,5.584
A,d,5.384
A,a,6.119
A,b,5.235
A,c,5.257
A,d,5.411
A,a,5.76
A,b,5.617
A,c,4.992
A,d,4.919
A,a,5.916
A,b,5.158
A,c,4.146
A,d,5.33
A,a,5.283
A,b,5.434
A,c,5.019
A,d,4.645
A,a,5.158
A,b,4.146
A,c,5.072
A,d,5.519
A,a,4.983
A,b,4.921
A,c,4.8
A,d,5.814
A,a,4.383
A,b,5.065
A,c,3.78
A,d,5.529
A,a,5.349
A,b,5.959
A,c,5.513
A,d,5.371
A,a,5.174
A,b,4.164
A,c,4.997
A,d,5.44
A,a,5.018
A,b,4.939
A,c,4.522
A,d,5.238
A,a,4.629
A,b,4.933
A,c,5.416
A,d,4.811
A,a,5.209
A,b,5.177
A,c,4.799
A,d,3.967
