country;quantity;lat;lon;size
 Albania;1;41.000028;19.9999619;10
Argentina;7;-34.9964963;-64.9672817;10
Australia;107;-24.7761086;134.755;13
Austria;37;47.59397;14.12456;11
Belgium;27;50.6402809;4.6667145;10
Brazil;18;-10.3333333;-53.2;10
Bulgaria;7;42.6073975;25.4856617;10
Canada;150;61.0666922;-107.991707;14
Cayman Islands;1;19.70318225;-79.91746272;10
China;115;35.000074;104.999927;13
Costa Rica;1;10.2735633;-84.0739102;10
Croatia;21;45.5643442;17.0118954;10
Cyprus;1;34.9823018;33.1451285;10
Czechia;14;49.8167003;15.4749544;10
Denmark;4;55.670249;10.3333283;10
Ecuador;1;-1.3397668;-79.3666965;10
Estonia;3;58.7523778;25.3319078;10
Finland;196;63.2467777;25.9209164;16
France;136;46.603354;1.8883335;14
Georgia;1;32.3293809;-83.1137366;10
Germany;665;51.1638175;10.4478313;32
Greece;3;38.9953683;21.9877132;10
Hong Kong;79;22.2793278;114.1628131;12
Hungary;10;47.1817585;19.5060937;10
India;15;22.3511148;78.6677428;10
Indonesia;5;-2.4833826;117.8902853;10
Ireland;103;52.865196;-7.9794599;13
Israel;4;30.8124247;34.8594762;10
Italy;11;42.6384261;12.674297;10
Japan;141;36.5748441;139.2394179;14
Kazakhstan;1;48.1012954;66.7780818;10
Laos;1;20.0171109;103.378253;10
Latvia;2;56.8406494;24.7537645;10
Lithuania;15;55.3500003;23.7499997;10
Luxembourg;2;49.8158683;6.1296751;10
Malaysia;6;4.5693754;102.2656823;10
Malta;4;35.8885993;14.4476911;10
Mexico;9;23.6585116;-102.0077097;10
Moldova;2;47.2879608;28.5670941;10
Netherlands;74;52.2434979;5.6343227;12
New Zealand;14;-41.5000831;172.8344077;10
Norway;12;60.5000209;9.0999715;10
Pakistan;1;30.3308401;71.247499;10
Peru;1;-6.8699697;-75.0458515;10
Poland;25;52.215933;19.134422;10
Portugal;15;39.6621648;-8.1353519;10
Puerto Rico;1;18.2247706;-66.4858295;10
Qatar;2;25.3336984;51.2295295;10
Republic of Lithuania;1;55.3500003;23.7499997;10
Romania;13;45.9852129;24.6859225;10
Russia;56;61.33099955;93.20832792;11
Reunion;1;-21.13073795;55.53648011;10
Serbia;4;44.1534121;20.55144;10
Singapore;247;1.357107;103.8194992;18
Slovakia;2;48.7411522;19.4528646;10
Slovenia;11;45.8133113;14.4808369;10
South Africa;5;-28.8166236;24.991639;10
South Korea;108;36.638392;127.6961188;13
Spain;24;39.3260685;-4.8379791;10
Sweden;22;59.6749712;14.5208584;10
Switzerland;62;46.7985624;8.2319736;12
Taiwan;25;23.9739374;120.9820179;10
Thailand;8;14.8971921;100.83273;10
Turkey;9;38.9597594;34.9249653;10
Ukraine;28;49.4871968;31.2718321;10
United Arab Emirates;1;24.0002488;53.9994829;10
United Kingdom;183;54.7023545;-3.2765753;16
United States;2687;39.7837304;-100.445882;100
Vietnam;9;15.9266657;107.9650855;10
