Criation_Time, Product, Quantity, Client, Order_id, Status, Notes-fornecedor
1,1001,10090,0,1000001,0,1
2,1001,10305,0,1000002,0,1
3,1001,10368,0,1000003,0,1
4,1001,10388,0,1000004,0,1
5,1001,10284,0,1000005,0,1
6,1001,10229,0,1000006,0,1
7,1001,10256,0,1000007,0,1
8,1001,10308,0,1000008,0,1
9,1001,10276,0,1000009,0,1
10,1001,10225,0,1000010,0,1
11,1001,10094,0,1000011,0,1
12,1001,10093,0,1000012,0,1
13,1001,10105,0,1000013,0,1
14,1001,10089,0,1000014,0,1
15,1001,10097,0,1000015,0,1
16,1001,10027,0,1000016,0,1
17,1001,10008,0,1000017,0,1
18,1001,10019,0,1000018,0,1
19,1001,9976,0,1000019,0,1
20,1001,9848,0,1000020,0,1
21,1001,9791,0,1000021,0,1
22,1001,9710,0,1000022,0,1
23,1001,9717,0,1000023,0,1
24,1001,9748,0,1000024,0,1
25,1001,9835,0,1000025,0,1
26,1001,9767,0,1000026,0,1
27,1001,9903,0,1000027,0,1
28,1001,9934,0,1000028,0,1
28,2001,73720,1,2000001,0,2
29,1001,9868,0,1000029,0,1
29,2001,73668,1,2000002,0,2
30,1001,9801,0,1000030,0,1
30,2001,73610,1,2000003,0,2
31,1001,9867,0,1000031,0,1
31,2001,73573,1,2000004,0,2
31,3001,539803,2,3000001,0,3
32,1001,9778,0,1000032,0,1
32,2001,73501,1,2000005,0,2
32,3001,539598,2,3000002,0,3
33,1001,9804,0,1000033,0,1
33,3001,539598,2,3000003,0,3
34,1001,9919,0,1000034,0,1
34,3001,539598,2,3000004,0,3
35,1001,9857,0,1000035,0,1
35,3001,539598,2,3000005,0,3
36,1001,9857,0,1000036,0,1
36,3001,539598,2,3000006,0,3
37,1001,10022,0,1000037,0,1
37,3001,539598,2,3000007,0,3
38,1001,10068,0,1000038,0,1
38,3001,539598,2,3000008,0,3
39,1001,9898,0,1000039,0,1
39,3001,539598,2,3000009,0,3
40,1001,9813,0,1000040,0,1
40,3001,539598,2,3000010,0,3
41,1001,9639,0,1000041,0,1
41,3001,539598,2,3000011,0,3
42,1001,9714,0,1000042,0,1
42,3001,539598,2,3000012,0,3
43,1001,9667,0,1000043,0,1
43,3001,539598,2,3000013,0,3
44,1001,9725,0,1000044,0,1
44,3001,539598,2,3000014,0,3
45,1001,9659,0,1000045,0,1
45,3001,539598,2,3000015,0,3
46,1001,9640,0,1000046,0,1
46,3001,539598,2,3000016,0,3
47,1001,9593,0,1000047,0,1
47,3001,539598,2,3000017,0,3
48,1001,9543,0,1000048,0,1
48,3001,539598,2,3000018,0,3
49,1001,9616,0,1000049,0,1
49,3001,539598,2,3000019,0,3
50,1001,9613,0,1000050,0,1
50,3001,539598,2,3000020,0,3
51,1001,9716,0,1000051,0,1
51,3001,539598,2,3000021,0,3
52,1001,9620,0,1000052,0,1
52,3001,539598,2,3000022,0,3
53,1001,9647,0,1000053,0,1
53,3001,539598,2,3000023,0,3
54,1001,9663,0,1000054,0,1
54,3001,539598,2,3000024,0,3
55,1001,9672,0,1000055,0,1
55,3001,539598,2,3000025,0,3
56,1001,9715,0,1000056,0,1
56,3001,539598,2,3000026,0,3
57,1001,9701,0,1000057,0,1
57,3001,539598,2,3000027,0,3
58,1001,9603,0,1000058,0,1
58,3001,539598,2,3000028,0,3
59,1001,9656,0,1000059,0,1
59,3001,539400,2,3000029,0,3
60,1001,9715,0,1000060,0,1
60,3001,539209,2,3000030,0,3
61,1001,9712,0,1000061,0,1
61,3001,539026,2,3000031,0,3
62,1001,9647,0,1000062,0,1
62,3001,538762,2,3000032,0,3
63,1001,9568,0,1000063,0,1
63,2001,60909,1,2000006,0,2
63,3001,446462,2,3000033,0,3
64,1001,9555,0,1000064,0,1
64,2001,60878,1,2000007,0,2
64,3001,446353,2,3000034,0,3
65,1001,9553,0,1000065,0,1
65,2001,60835,1,2000008,0,2
65,3001,446206,2,3000035,0,3
66,1001,9564,0,1000066,0,1
66,2001,60779,1,2000009,0,2
66,3001,446038,2,3000036,0,3
67,1001,9538,0,1000067,0,1
67,2001,60736,1,2000010,0,2
67,3001,445869,2,3000037,0,3
68,1001,9673,0,1000068,0,1
68,2001,60716,1,2000011,0,2
68,3001,445730,2,3000038,0,3
69,1001,9625,0,1000069,0,1
69,2001,60658,1,2000012,0,2
69,3001,445576,2,3000039,0,3
70,1001,9564,0,1000070,0,1
70,2001,60608,1,2000013,0,2
70,3001,445408,2,3000040,0,3
71,1001,9590,0,1000071,0,1
71,2001,60556,1,2000014,0,2
71,3001,445240,2,3000041,0,3
72,1001,9594,0,1000072,0,1
72,2001,60476,1,2000015,0,2
72,3001,445050,2,3000042,0,3
73,1001,9576,0,1000073,0,1
73,2001,60382,1,2000016,0,2
73,3001,444823,2,3000043,0,3
74,1001,9537,0,1000074,0,1
74,2001,60317,1,2000017,0,2
74,3001,444604,2,3000044,0,3
75,1001,9540,0,1000075,0,1
75,2001,60266,1,2000018,0,2
75,3001,444385,2,3000045,0,3
76,1001,9573,0,1000076,0,1
76,2001,60253,1,2000019,0,2
76,3001,444187,2,3000046,0,3
77,1001,9497,0,1000077,0,1
77,2001,60216,1,2000020,0,2
77,3001,444005,2,3000047,0,3
78,1001,9461,0,1000078,0,1
78,2001,60179,1,2000021,0,2
78,3001,443822,2,3000048,0,3
79,1001,9376,0,1000079,0,1
79,2001,60118,1,2000022,0,2
79,3001,443639,2,3000049,0,3
80,1001,9376,0,1000080,0,1
80,2001,60070,1,2000023,0,2
80,3001,443457,2,3000050,0,3
81,1001,9376,0,1000081,0,1
81,2001,60022,1,2000024,0,2
81,3001,443274,2,3000051,0,3
82,1001,9302,0,1000082,0,1
82,2001,59976,1,2000025,0,2
82,3001,443092,2,3000052,0,3
83,1001,9193,0,1000083,0,1
83,2001,59919,1,2000026,0,2
83,3001,442909,2,3000053,0,3
84,1001,9163,0,1000084,0,1
84,2001,59844,1,2000027,0,2
84,3001,442720,2,3000054,0,3
85,1001,9085,0,1000085,0,1
85,2001,59759,1,2000028,0,2
85,3001,442516,2,3000055,0,3
86,1001,9085,0,1000086,0,1
86,2001,59654,1,2000029,0,2
86,3001,442297,2,3000056,0,3
87,1001,9116,0,1000087,0,1
87,2001,59566,1,2000030,0,2
87,3001,442072,2,3000057,0,3
88,1001,8913,0,1000088,0,1
88,2001,59448,1,2000031,0,2
88,3001,441832,2,3000058,0,3
89,1001,8947,0,1000089,0,1
89,2001,59334,1,2000032,0,2
89,3001,441578,2,3000059,0,3
90,1001,8984,0,1000090,0,1
90,2001,59217,1,2000033,0,2
90,3001,441317,2,3000060,0,3
91,1001,8952,0,1000091,0,1
91,2001,59086,1,2000034,0,2
91,3001,441034,2,3000061,0,3
92,1001,8978,0,1000092,0,1
92,2001,58908,1,2000035,0,2
92,3001,440731,2,3000062,0,3
93,1001,9107,0,1000093,0,1
93,2001,58765,1,2000036,0,2
93,3001,440420,2,3000063,0,3
94,1001,9079,0,1000094,0,1
94,2001,58616,1,2000037,0,2
94,3001,439882,2,3000064,0,3
95,1001,9029,0,1000095,0,1
95,2001,58433,1,2000038,0,2
95,3001,439307,2,3000065,0,3
96,1001,9147,0,1000096,0,1
96,2001,58350,1,2000039,0,2
96,3001,438726,2,3000066,0,3
97,1001,9065,0,1000097,0,1
97,2001,58250,1,2000040,0,2
97,3001,438129,2,3000067,0,3
98,1001,8922,0,1000098,0,1
98,2001,58128,1,2000041,0,2
98,3001,437518,2,3000068,0,3
99,1001,8942,0,1000099,0,1
99,2001,57980,1,2000042,0,2
99,3001,436878,2,3000069,0,3
100,1001,8875,0,1000100,0,1
100,2001,57823,1,2000043,0,2
100,3001,436210,2,3000070,0,3
101,1001,9000,0,1000101,0,1
101,2001,57707,1,2000044,0,2
101,3001,435533,2,3000071,0,3
102,1001,9111,0,1000102,0,1
102,2001,57606,1,2000045,0,2
102,3001,434835,2,3000072,0,3
103,1001,9098,0,1000103,0,1
103,2001,57498,1,2000046,0,2
103,3001,434137,2,3000073,0,3
104,1001,8981,0,1000104,0,1
104,2001,57373,1,2000047,0,2
104,3001,433431,2,3000074,0,3
105,1001,9143,0,1000105,0,1
105,2001,57284,1,2000048,0,2
105,3001,432719,2,3000075,0,3
106,1001,9262,0,1000106,0,1
106,2001,57220,1,2000049,0,2
106,3001,432005,2,3000076,0,3
107,1001,9359,0,1000107,0,1
107,2001,57169,1,2000050,0,2
107,3001,431282,2,3000077,0,3
108,1001,9303,0,1000108,0,1
108,2001,57127,1,2000051,0,2
108,3001,430552,2,3000078,0,3
109,1001,9330,0,1000109,0,1
109,2001,57098,1,2000052,0,2
109,3001,429827,2,3000079,0,3
110,1001,9355,0,1000110,0,1
110,2001,57091,1,2000053,0,2
110,3001,429108,2,3000080,0,3
111,1001,9433,0,1000111,0,1
111,2001,57105,1,2000054,0,2
111,3001,428402,2,3000081,0,3
112,1001,9485,0,1000112,0,1
112,2001,57127,1,2000055,0,2
112,3001,427717,2,3000082,0,3
113,1001,9554,0,1000113,0,1
113,2001,57185,1,2000056,0,2
113,3001,427053,2,3000083,0,3
114,1001,9668,0,1000114,0,1
114,2001,57299,1,2000057,0,2
114,3001,426423,2,3000084,0,3
115,1001,9490,0,1000115,0,1
115,2001,57367,1,2000058,0,2
115,3001,425829,2,3000085,0,3
116,1001,9527,0,1000116,0,1
116,2001,57467,1,2000059,0,2
116,3001,425286,2,3000086,0,3
117,1001,9583,0,1000117,0,1
117,2001,57575,1,2000060,0,2
117,3001,424779,2,3000087,0,3
118,1001,9636,0,1000118,0,1
118,2001,57684,1,2000061,0,2
118,3001,424330,2,3000088,0,3
119,1001,9524,0,1000119,0,1
119,2001,57810,1,2000062,0,2
119,3001,423933,2,3000089,0,3
120,1001,9565,0,1000120,0,1
120,2001,57936,1,2000063,0,2
120,3001,423596,2,3000090,0,3
121,1001,9640,0,1000121,0,1
121,2001,58071,1,2000064,0,2
121,3001,423318,2,3000091,0,3
122,1001,9538,0,1000122,0,1
122,2001,58189,1,2000065,0,2
122,3001,423100,2,3000092,0,3
123,1001,9470,0,1000123,0,1
123,2001,58285,1,2000066,0,2
123,3001,422950,2,3000093,0,3
124,1001,9405,0,1000124,0,1
124,2001,58347,1,2000067,0,2
124,3001,422845,2,3000094,0,3
125,1001,9413,0,1000125,0,1
125,2001,58407,1,2000068,0,2
125,3001,422800,2,3000095,0,3
126,1001,9327,0,1000126,0,1
126,2001,58465,1,2000069,0,2
126,3001,422808,2,3000096,0,3
127,1001,9401,0,1000127,0,1
127,2001,58514,1,2000070,0,2
127,3001,422845,2,3000097,0,3
