_id,deliver_day,order_id,order_criation_day,sending_day,receiver,sender,product,quantity,transit_time,lead_time,theoretical_lead,transaction_id,delivered,update_day
1,9,5000001,1,1,4,5,5001,16896,,8,8,1,1,9
2,11,5000001,1,1,4,5,5001,16896,,10,10,2,1,11
3,12,5000002,2,2,4,5,5001,16896,,10,10,3,1,12
4,11,5000002,2,2,4,5,5001,16896,,11,9,4,1,13
7,12,5000004,4,4,4,5,5001,16896,,10,8,7,1,14
5,15,5000003,3,3,4,5,5001,16896,,12,12,5,1,15
8,11,5000004,4,4,4,5,5001,16896,,12,7,8,1,16
9,16,5000005,5,5,4,5,5001,16896,,12,11,9,1,17
6,18,5000003,3,3,4,5,5001,16896,,15,15,6,1,18
10,14,5000005,5,5,4,5,5001,16896,,14,9,10,1,19
11,18,5000006,6,6,4,5,5001,16896,,14,12,11,1,20
12,14,5000006,6,6,4,5,5001,16896,,15,8,12,1,21
14,20,5000007,7,7,4,5,5001,16896,,15,13,14,1,22
15,21,5000008,8,8,4,5,5001,16896,,15,13,15,1,23
13,24,5000007,7,7,4,5,5001,16896,,17,17,13,1,24
16,16,5000008,8,8,4,5,5001,16896,,17,8,16,1,25
17,21,5000009,9,9,4,5,5001,138416,,17,12,17,1,26
18,19,5000009,9,9,4,5,5001,138416,,18,10,18,1,27
19,21,5000010,10,10,4,5,5001,138416,,18,11,19,1,28
20,16,5000010,10,10,4,5,5001,138416,,19,6,20,1,29
44,30,2000021,22,22,1,2,2001,11926,,8,8,44,1,30
21,21,5000011,11,11,4,5,5001,197281,,19,10,21,1,30
41,31,1000021,21,21,0,1,1001,11926,,10,10,41,1,31
22,27,5000011,11,11,4,5,5001,197281,,20,16,22,1,31
23,20,5000012,12,12,4,5,5001,201846,,20,8,23,1,32
24,18,5000012,12,12,4,5,5001,201846,,21,6,24,1,33
50,34,4000021,24,24,3,4,4001,11926,,10,10,50,1,34
25,19,5000013,13,13,4,5,5001,196837,,21,6,25,1,34
47,35,3000021,23,23,2,3,3001,11926,,12,12,47,1,35
55,35,4000022,25,25,3,4,4001,11926,,10,10,55,1,35
26,21,5000013,13,13,4,5,5001,196837,,22,8,26,1,35
51,36,4000021,24,24,3,4,4001,11926,,12,12,51,1,36
27,25,5000014,14,14,4,5,5001,195926,,22,11,27,1,36
